PDATE,TOKEN,IN_TIME,OUT_TIME,TOTAL_TIME,STATUS
2023-09-01,2,,,,
2023-09-02,2,,,,
2023-09-03,2,,,,
2023-09-04,2,,,,
2023-09-05,2,,,,
2023-09-06,2,2023-09-06 09:17:00,2023-09-06 21:30:00,12:13:00,
2023-09-07,2,2023-09-07 08:44:00,2023-09-07 20:13:00,11:29:00,
2023-09-08,2,2023-09-08 09:08:00,2023-09-08 20:04:59,10:56:59,
2023-09-09,2,2023-09-09 09:04:59,2023-09-09 20:10:00,11:05:00,
2023-09-10,2,2023-09-10 08:36:00,2023-09-10 14:26:00,05:50:00,
2023-09-11,2,2023-09-11 09:11:00,2023-09-11 18:10:00,08:59:00,
2023-09-12,2,2023-09-12 08:45:00,2023-09-12 18:08:00,09:23:00,
2023-09-13,2,2023-09-13 08:50:59,2023-09-13 18:10:00,09:19:00,
2023-09-14,2,2023-09-14 09:11:59,2023-09-14 18:04:59,08:53:00,
2023-09-15,2,2023-09-15 09:07:00,2023-09-15 18:07:00,09:00:00,
2023-09-16,2,2023-09-16 09:09:00,2023-09-16 18:45:00,09:36:00,
2023-09-17,2,,,,
2023-09-18,2,2023-09-18 08:50:59,2023-09-18 13:47:00,04:56:00,
2023-09-19,2,,,,
2023-09-20,2,,,,
2023-09-21,2,,,,
2023-09-22,2,,,,
2023-09-23,2,,,,
2023-09-24,2,,,,
2023-09-25,2,,,,
2023-09-26,2,,,,
2023-09-27,2,,,,
2023-09-28,2,,,,
2023-09-29,2,,,,
2023-09-30,2,,,,
2023-09-01,3,2023-09-01 08:51:59,2023-09-01 18:25:59,09:34:00,
2023-09-02,3,2023-09-02 08:37:59,2023-09-02 18:22:00,09:44:00,
2023-09-03,3,2023-09-03 10:38:00,2023-09-03 17:41:59,07:03:59,
2023-09-04,3,2023-09-04 09:12:59,2023-09-04 18:45:59,09:33:00,
2023-09-05,3,2023-09-05 09:26:59,2023-09-05 18:09:00,08:42:00,
2023-09-06,3,2023-09-06 08:48:00,2023-09-06 18:13:59,09:25:59,
2023-09-07,3,2023-09-07 09:22:00,2023-09-07 18:52:00,09:30:00,
2023-09-08,3,2023-09-08 09:22:59,2023-09-08 18:03:59,08:41:00,
2023-09-09,3,2023-09-09 09:25:59,2023-09-09 18:04:59,08:39:00,
2023-09-10,3,2023-09-10 10:15:00,2023-09-10 18:11:00,07:56:00,
2023-09-11,3,2023-09-11 09:33:59,2023-09-11 18:33:00,08:59:00,
2023-09-12,3,2023-09-12 09:40:00,2023-09-12 18:56:00,09:16:00,
2023-09-13,3,2023-09-13 09:31:00,2023-09-13 19:50:00,10:19:00,
