  38 |     002 | 2024-03-01 |     9 |      20 |    0 | 2024-03-01 09:20:00 | CJOU214760232 |
|-------|---------|------------|-------|---------|------|---------------------|---------------|
|    38 |     002 | 2024-03-01 |    17 |      29 |    1 | 2024-03-01 17:29:00 | CJOU214760220 |
|-------|---------|------------|-------|---------|------|---------------------|---------------|
|    38 |     002 | 2024-03-02 |     9 |      14 |    0 | 2024-03-02 09:14:00 | CJOU214760232 |
|-------|---------|------------|-------|---------|------|---------------------|---------------|
|    38 |     002 | 2024-03-02 |    17 |      27 |    1 | 2024-03-02 17:27:00 | CJOU214760220 |
|-------|---------|------------|-------|---------|------|---------------------|---------------|
|    38 |     002 | 2024-03-04 |     7 |      14 |    0 | 2024-03-04 07:14:00 | CJOU214760232 |
|-------|---------|------------|-------|---------|------|---------------------|---------------|
|    38 |     002 | 2024-03-04 |    17 |      35 |    1 | 2024-03-04 17:35:00 | CJOU214760220 |
|-------|---------|------------|-------|---------|------|---------------------|---------------|
|    38 |     002 | 2024-03-05 |     9 |      17 |    0 | 2024-03-05 09:17:00 | CJOU214760232 |
|-------|---------|------------|-------|---------|------|---------------------|---------------|
|    38 |     002 | 2024-03-05 |    17 |      28 |    1 | 2024-03-05 17:28:00 | CJOU214760220 |
|-------|---------|------------|-------|---------|------|---------------------|---------------|
|    38 |     002 | 2024-03-06 |     9 |      16 |    0 | 2024-03-06 09:16:00 | CJOU214760232 |
|-------|---------|------------|-------|---------|------|---------------------|---------------|
|    38 |     002 | 2024-03-06 |    17 |      28 |    1 | 2024-03-06 17:28:00 | CJOU214760220 |
|-------|---------|------------|-------|---------|------|---------------------|---------------|
|    38 |     002 | 2024-03-07 |     9 |      14 |    0 | 2024-03-07 09:14:00 | CJOU214760232 |
|-------|---------|------------|-------|---------|------|---------------------|---------------|
|    38 |     002 | 2024-03-07 |    17 |      31 |    1 | 2024-03-07 17:31:00 | CJOU214760220 |
|-------|---------|------------|-------|---------|------|---------------------|---------------|
|    38 |     002 | 2024-03-09 |     9 |      11 |    0 | 2024-03-09 09:11:00 | CJOU214760232 |
|-------|---------|------------|-------|---------|------|---------------------|---------------|
|    38 |     002 | 2024-03-09 |    17 |      30 |    1 | 2024-03-09 17:30:00 | CJOU214760220 |
|-------|---------|------------|-------|---------|------|---------------------|---------------|
|    38 |     002 | 2024-03-11 |     9 |      20 |    0 | 2024-03-11 09:20:00 | CJOU214760232 |
|-------|---------|------------|-------|---------|------|---------------------|---------------|
|    38 |     002 | 2024-03-12 |     5 |      24 |    1 | 2024-03-12 05:24:00 | CJOU214760220 |
|-------|---------|------------|-------|---------|------|---------------------|---------------|
|    38 |     002 | 2024-03-12 |     5 |      26 |    0 | 2024-03-12 05:26:00 | CJOU214760232 |
|-------|---------|------------|-------|---------|------|---------------------|---------------|
|    38 |     002 | 2024-03-12 |    18 |      35 |    1 | 2024-03-12 18:35:00 | CJOU214760220 |
|-------|---------|------------|-------|---------|------|---------------------|---------------|
|    38 |     002 | 2024-03-13 |     9 |      35 |    0 | 2024-03-13 09:35:00 | CJOU214760232 |
