COMCODE,TOKEN,MODE_0_COUNT,MODE_1_COUNT
001,1,35,0
001,216,27,0
XXX,2,35,0
XXX,3,35,0
XXX,4,35,0
XXX,5,33,0
XXX,6,23,0
XXX,8,35,0
XXX,10,31,0
XXX,11,292,0
XXX,13,29,0
XXX,14,32,0
XXX,15,35,0
XXX,16,33,0
XXX,17,22,0
XXX,18,32,0
XXX,19,32,0
XXX,20,30,0
XXX,21,35,0
XXX,23,31,0
XXX,24,31,0
XXX,26,33,0
XXX,27,313,0
XXX,29,35,0
XXX,32,3,0
XXX,35,33,0
XXX,36,33,0
XXX,38,33,0
XXX,39,33,0
XXX,40,23,0
XXX,41,31,0
XXX,42,30,0
XXX,43,33,0
XXX,49,27,0
XXX,51,35,0
XXX,52,33,0
XXX,53,33,0
XXX,54,35,0
XXX,55,39,0
XXX,57,29,0
XXX,58,33,0
XXX,59,31,0
XXX,60,37,0
XXX,61,33,0
XXX,62,33,0
XXX,72,31,0
XXX,75,32,0
XXX,89,32,0
XXX,90,35,0
XXX,91,32,0
XXX,97,33,0
XXX,98,33,0
XXX,102,33,0
XXX,104,33,0
XXX,105,31,0
XXX,106,35,0
XXX,108,31,0
XXX,109,30,0
XXX,110,31,0
XXX,111,33,0
XXX,114,11,0
XXX,118,28,0
XXX,122,33,0
XXX,130,33,0
XXX,134,28,0
XXX,143,9,0
XXX,146,29,0
XXX,149,33,0
XXX,162,29,0
XXX,190,35,0
XXX,195,33,0
XXX,207,33,0
XXX,213,27,0
XXX,214,35,0
XXX,237,8,0
XXX,249,30,0
XXX,263,11,0
XXX,275,35,0
XXX,279,23,0
XXX,281,19,0
XXX,286,33,0
XXX,289,35,0
XXX,292,33,0
XXX,293,31,0
XXX,296,34,0
XXX,301,32,0
XXX,304,33,0
XXX,308,31,0
XXX,309,33,0
XXX,311,32,0
XXX,315,33,0
XXX,318,33,0
XXX,319,35,0
XXX,320,27,0
XXX,322,33,0
XXX,328,32,0
XXX,329,29,0
XXX,330,14,0
XXX,337,33,0
XXX,338,26,0
XXX,344,2,0
XXX,345,28,0
XXX,346,35,0
XXX,347,21,0
XXX,349,28,0
XXX,353,26,1
XXX,354,24,0
XXX,355,30,0
XXX,364,34,0
XXX,366,31,0
XXX,396,29,0
XXX,422,33,0
XXX,425,31,0
XXX,430,35,0
XXX,441,35,0
XXX,446,33,0
XXX,454,32,0
XXX,459,31,0
XXX,464,29,0
XXX,467,35,0
XXX,469,31,0
XXX,470,32,0
XXX,472,33,0
XXX,499,31,0
XXX,502,29,0
XXX,503,22,0
XXX,512,29,0
XXX,517,3,0
XXX,523,33,0
XXX,524,35,0
XXX,527,19,0
XXX,532,33,0
XXX,533,29,0
XXX,534,32,0
XXX,538,32,0
XXX,542,29,0
XXX,547,35,0
XXX,553,35,0
XXX,556,23,0
XXX,557,31,0
XXX,559,31,0
XXX,561,35,0
XXX,563,27,0
XXX,570,31,0
XXX,572,35,0
XXX,574,35,0
XXX,576,31,0
XXX,580,35,0
XXX,583,33,0
XXX,585,33,0
XXX,587,32,0
XXX,589,33,0
XXX,592,17,0
XXX,593,33,0
XXX,596,34,0
XXX,599,35,0
XXX,600,35,0
XXX,602,31,0
XXX,603,44,0
XXX,607,27,0
XXX,608,30,0
XXX,610,13,0
XXX,611,35,0
XXX,612,36,0
XXX,613,10,0
XXX,614,15,0
XXX,616,35,0
XXX,621,33,0
XXX,623,35,0
XXX,625,32,0
XXX,628,33,0
XXX,631,26,0
XXX,635,30,0
XXX,636,33,0
XXX,641,35,0
XXX,644,35,0
XXX,645,33,0
XXX,647,31,0
XXX,648,31,0
XXX,650,35,0
XXX,653,33,0
XXX,658,31,0
XXX,659,28,0
XXX,663,35,0
XXX,665,29,0
XXX,666,33,0
XXX,667,31,0
XXX,668,33,0
XXX,670,32,0
XXX,673,27,0
XXX,675,15,0
XXX,676,31,0
XXX,685,33,0
XXX,686,25,0
XXX,687,16,0
XXX,690,35,0
XXX,692,31,0
XXX,694,30,0
XXX,696,40,0
XXX,699,35,0
XXX,700,33,0
XXX,701,27,0
XXX,702,33,0
XXX,703,30,0
XXX,705,35,0
XXX,706,33,0
XXX,711,35,0
XXX,714,27,0
XXX,716,31,0
XXX,720,33,0
XXX,722,29,0
XXX,725,33,0
XXX,727,33,0
XXX,728,31,0
XXX,729,35,0
XXX,730,25,0
XXX,731,35,0
XXX,733,35,0
XXX,734,18,0
XXX,735,29,0
XXX,737,32,0
XXX,738,35,0
XXX,739,4,0
XXX,10001,24,0
XXX,10003,32,0
XXX,10004,28,0
XXX,10005,32,0
XXX,10006,31,0
XXX,10007,24,0
XXX,10008,33,0
XXX,10009,33,0
XXX,10010,23,0
XXX,10011,32,0
XXX,10012,32,0
XXX,10013,33,0
XXX,10014,33,0
XXX,10015,31,0
XXX,10017,31,0
XXX,10018,32,0
XXX,10019,33,0
XXX,10022,32,0
XXX,10023,29,0
XXX,10024,30,0
XXX,10025,30,0
XXX,10028,33,0
XXX,10029,29,0
XXX,11225,30,0
XXX,11228,29,0
XXX,11247,27,0
XXX,11257,26,0
XXX,11280,2,0
XXX,11283,29,0
XXX,11292,18,0
XXX,11298,33,0
XXX,11302,31,0
XXX,11305,29,0
XXX,11308,31,0
XXX,11314,31,0
XXX,11328,27,0
XXX,11333,31,0
XXX,11349,33,0
XXX,11350,33,0
XXX,11351,31,0
XXX,11353,31,0
XXX,11354,31,0
XXX,11360,30,0
XXX,11369,33,0
XXX,11384,18,0
XXX,11394,33,0
XXX,11395,14,0
XXX,11400,27,0
XXX,11407,31,0
XXX,11414,30,0
XXX,11415,33,0
XXX,11416,35,0
XXX,11417,35,0
XXX,11418,35,0
XXX,11419,35,0
XXX,11421,33,0
XXX,11422,35,0
XXX,11423,26,0
XXX,11424,33,0
XXX,11425,33,0
XXX,11426,29,0
XXX,11428,31,0
XXX,11430,35,0
XXX,11434,31,0
XXX,11437,27,0
XXX,11438,28,0
XXX,11442,26,0
XXX,11443,31,0
XXX,11444,33,0
XXX,11445,33,0
XXX,11446,31,0
XXX,11447,33,0
XXX,11449,30,0
XXX,11451,33,0
XXX,11461,35,0
XXX,11464,27,0
XXX,11465,33,0
XXX,11466,33,0
XXX,11468,31,0
XXX,11469,35,0
XXX,11471,30,0
XXX,11472,26,0
XXX,11474,31,0
