TOKEN,COMCODE,PDATE,HOURS,MINUTES,MODE,PDTIME,MCIP
6,002,2024-05-01,9,2,1,2024-05-01 09:01:59.999,CJOU214760220
8,002,2024-05-01,22,6,1,2024-05-01 22:06:00.000,CJOU214760220
22,002,2024-05-01,6,0,1,2024-05-01 06:00:00.000,CJOU214760220
24,002,2024-05-01,6,0,1,2024-05-01 06:00:00.000,CJOU214760220
31,002,2024-05-01,6,4,1,2024-05-01 06:03:59.999,CJOU214760220
34,002,2024-05-01,14,6,1,2024-05-01 14:05:59.999,CJOU214760220
35,002,2024-05-01,5,57,1,2024-05-01 05:57:00.000,CJOU214760220
36,002,2024-05-01,5,45,1,2024-05-01 05:45:00.000,CJOU214760220
37,002,2024-05-01,5,55,1,2024-05-01 05:55:00.000,CJOU214760220
39,002,2024-05-01,22,9,1,2024-05-01 22:08:59.999,CJOU214760220
47,XXX,2024-05-01,18,23,1,2024-05-01 18:22:59.999,CJOU214760220
1006,XXX,2024-05-01,5,53,1,2024-05-01 05:52:59.999,CJOU214760220
1009,XXX,2024-05-01,5,52,1,2024-05-01 05:51:59.999,CJOU214760220
1011,XXX,2024-05-01,6,7,1,2024-05-01 06:07:00.000,CJOU214760220
1012,XXX,2024-05-01,22,1,1,2024-05-01 22:00:59.999,CJOU214760220
1014,XXX,2024-05-01,22,9,1,2024-05-01 22:08:59.999,CJOU214760220
1016,XXX,2024-05-01,6,5,1,2024-05-01 06:04:59.999,CJOU214760220
1025,XXX,2024-05-01,6,0,1,2024-05-01 06:00:00.000,CJOU214760220
1027,XXX,2024-05-01,14,4,1,2024-05-01 14:03:59.999,CJOU214760220
1038,XXX,2024-05-01,13,49,1,2024-05-01 13:49:00.000,CJOU214760220
1041,XXX,2024-05-01,21,40,1,2024-05-01 21:40:00.000,CJOU214760220
1042,XXX,2024-05-01,17,23,1,2024-05-01 17:23:00.000,CJOU214760220
1044,XXX,2024-05-01,17,23,1,2024-05-01 17:23:00.000,CJOU214760220
1045,XXX,2024-05-01,6,7,1,2024-05-01 06:07:00.000,CJOU214760220
1072,XXX,2024-05-01,5,56,1,2024-05-01 05:56:00.000,CJOU214760220
1073,XXX,2024-05-01,21,49,1,2024-05-01 21:48:59.999,CJOU214760220
1075,XXX,2024-05-01,6,23,1,2024-05-01 06:22:59.999,CJOU214760220
1078,XXX,2024-05-01,6,10,1,2024-05-01 06:10:00.000,CJOU214760220
1081,XXX,2024-05-01,6,25,1,2024-05-01 06:24:59.999,CJOU214760220
1085,XXX,2024-05-01,5,56,1,2024-05-01 05:56:00.000,CJOU214760220
1086,XXX,2024-05-01,23,48,1,2024-05-01 23:48:00.000,CJOU214760220
1088,XXX,2024-05-01,21,38,1,2024-05-01 21:37:59.999,CJOU214760220
1089,XXX,2024-05-01,6,5,1,2024-05-01 06:04:59.999,CJOU214760220
1094,XXX,2024-05-01,21,58,1,2024-05-01 21:57:59.999,CJOU214760220
1099,XXX,2024-05-01,14,1,1,2024-05-01 14:01:00.000,CJOU214760220
1102,XXX,2024-05-01,5,45,1,2024-05-01 05:45:00.000,CJOU214760220
1104,XXX,2024-05-01,5,43,1,2024-05-01 05:42:59.999,CJOU214760220
1106,XXX,2024-05-01,14,12,1,2024-05-01 14:12:00.000,CJOU214760220
1107,XXX,2024-05-01,6,7,1,2024-05-01 06:07:00.000,CJOU214760220
1108,XXX,2024-05-01,5,51,1,2024-05-01 05:50:59.999,CJOU214760220
1111,XXX,2024-05-01,15,41,1,2024-05-01 15:41:00.000,CJOU214760220
1113,XXX,2024-05-01,17,33,1,2024-05-01 17:33:00.000,CJOU214760220
1114,XXX,2024-05-01,22,1,1,2024-05-01 22:00:59.999,CJOU214760220
1115,XXX,2024-05-01,22,1,1,2024-05-01 22:00:59.999,CJOU214760220
1116,XXX,2024-05-01,18,23,1,2024-05-01 18:22:59.999,CJOU214760220
1117,XXX,2024-05-01,14,4,1,2024-05-01 14:03:59.999,CJOU214760220
