empcode,punchtime,punchdate,terminal_sl,punch_date_time
249,12:16:40,2024-03-16,CK5O223960315,20240316 121640
346,12:50:36,2024-03-16,CK5O223960315,20240316 125036
320,12:53:39,2024-03-16,CK5O223960315,20240316 125339
666,12:55:06,2024-03-16,CK5O223960297,20240316 125506
355,12:58:26,2024-03-16,CK5O223960315,20240316 125826
643,13:00:18,2024-03-16,CK5O223960352,20240316 130018
11461,13:05:00,2024-03-16,CK5O223960315,20240316 130500
354,13:20:50,2024-03-16,CK5O223960315,20240316 132050
11521,13:21:45,2024-03-16,CK5O223960315,20240316 132145
293,13:36:04,2024-03-16,CK5O223960333,20240316 133604
11489,14:12:14,2024-03-16,CK5O223960315,20240316 141214
11510,14:51:26,2024-03-16,CK5O223960315,20240316 145126
344,15:31:39,2024-03-16,CK5O223960315,20240316 153139
10028,15:55:25,2024-03-16,CK5O223960315,20240316 155525
534,15:57:48,2024-03-16,CK5O223960333,20240316 155748
653,16:05:02,2024-03-16,CK5O223960333,20240316 160502
11522,16:05:14,2024-03-16,CK5O223960315,20240316 160514
216,16:11:27,2024-03-16,CK5O223960315,20240316 161127
42,16:13:54,2024-03-16,CK5O223960333,20240316 161354
249,16:31:24,2024-03-16,CK5O223960315,20240316 163124
675,16:35:44,2024-03-16,CK5O223960352,20240316 163544
645,16:35:50,2024-03-16,CK5O223960352,20240316 163550
641,16:35:57,2024-03-16,CK5O223960352,20240316 163557
349,16:44:07,2024-03-16,CK5O223960315,20240316 164407
349,16:51:42,2024-03-16,CK5O223960315,20240316 165142
292,16:54:23,2024-03-16,CK5O223960315,20240316 165423
328,17:12:15,2024-03-16,CK5O223960315,20240316 171215
10022,17:15:25,2024-03-16,CK5O223960315,20240316 171525
454,17:28:39,2024-03-16,CK5O223960333,20240316 172839
729,17:28:45,2024-03-16,CK5O223960333,20240316 172845
425,17:29:09,2024-03-16,CK5O223960333,20240316 172909
547,17:29:16,2024-03-16,CK5O223960297,20240316 172916
214,17:29:22,2024-03-16,CK5O223960333,20240316 172922
614,17:29:23,2024-03-16,CK5O223960297,20240316 172923
702,17:29:27,2024-03-16,CK5O223960297,20240316 172927
721,17:29:36,2024-03-16,CK5O223960333,20240316 172936
720,17:29:41,2024-03-16,CK5O223960333,20240316 172941
464,17:29:52,2024-03-16,CK5O223960333,20240316 172952
714,17:29:56,2024-03-16,CK5O223960333,20240316 172956
2,17:30:03,2024-03-16,CK5O223960333,20240316 173003
692,17:30:04,2024-03-16,CK5O223960352,20240316 173004
11476,17:30:08,2024-03-16,CK5O223960315,20240316 173008
592,17:30:08,2024-03-16,CK5O223960333,20240316 173008
650,17:30:08,2024-03-16,CK5O223960297,20240316 173008
587,17:30:12,2024-03-16,CK5O223960352,20240316 173012
316,17:30:13,2024-03-16,CK5O223960297,20240316 173013
557,17:30:15,2024-03-16,CK5O223960333,20240316 173015
612,17:30:19,2024-03-16,CK5O223960352,20240316 173019
149,17:30:20,2024-03-16,CK5O223960333,20240316 173020
673,17:30:20,2024-03-16,CK5O223960297,20240316 173020
11520,17:30:22,2024-03-16,CK5O223960315,20240316 173022
114,17:30:27,2024-03-16,CK5O223960352,20240316 173027
11504,17:30:28,2024-03-16,CK5O223960315,20240316 173028
23,17:30:30,2024-03-16,CK5O223960333,20240316 173030
603,17:30:31,2024-03-16,CK5O223960297,20240316 173031
703,17:30:33,2024-03-16,CK5O223960352,20240316 173033
580,17:30:34,2024-03-16,CK5O223960333,20240316 173034
726,17:30:37,2024-03-16,CK5O223960352,20240316 173037
24,17:30:40,2024-03-16,CK5O223960333,20240316 173040
502,17:30:43,2024-03-16,CK5O223960352,20240316 173043
559,17:30:46,2024-03-16,CK5O223960333,20240316 173046
524,17:30:49,2024-03-16,CK5O223960352,20240316 173049
470,17:30:51,2024-03-16,CK5O223960297,20240316 173051
611,17:30:53,2024-03-16,CK5O223960333,20240316 173053
727,17:30:53,2024-03-16,CK5O223960352,20240316 173053
459,17:30:58,2024-03-16,CK5O223960333,20240316 173058
281,17:30:59,2024-03-16,CK5O223960352,20240316 173059
523,17:31:02,2024-03-16,CK5O223960297,20240316 173102
706,17:31:03,2024-03-16,CK5O223960333,20240316 173103
700,17:31:05,2024-03-16,CK5O223960352,20240316 173105
366,17:31:06,2024-03-16,CK5O223960297,20240316 173106
146,17:31:11,2024-03-16,CK5O223960333,20240316 173111
648,17:31:12,2024-03-16,CK5O223960297,20240316 173112
330,17:31:13,2024-03-16,CK5O223960352,20240316 173113
11527,17:31:15,2024-03-16,CK5O223960315,20240316 173115
602,17:31:18,2024-03-16,CK5O223960297,20240316 173118
556,17:31:19,2024-03-16,CK5O223960333,20240316 173119
499,17:31:23,2024-03-16,CK5O223960333,20240316 173123
322,17:31:24,2024-03-16,CK5O223960297,20240316 173124
589,17:31:25,2024-03-16,CK5O223960352,20240316 173125
599,17:31:29,2024-03-16,CK5O223960297,20240316 173129
104,17:31:30,2024-03-16,CK5O223960333,20240316 173130
583,17:31:30,2024-03-16,CK5O223960352,20240316 173130
647,17:31:34,2024-03-16,CK5O223960297,20240316 173134
636,17:31:35,2024-03-16,CK5O223960333,20240316 173135
553,17:31:36,2024-03-16,CK5O223960352,20240316 173136
628,17:31:40,2024-03-16,CK5O223960333,20240316 173140
