TOKEN,COMCODE,PDATE,HOURS,MINUTES,MODE,PDTIME,MCIP
2,002,2024-05-14,9,0,0,2024-05-14 09:00:00,10.10.0.80
3,002,2024-05-14,6,31,0,2024-05-14 06:31:00,10.10.0.80
7,002,2024-05-14,9,19,0,2024-05-14 09:19:00,10.10.0.80
11,002,2024-05-14,8,54,0,2024-05-14 08:54:00,10.10.0.80
22,002,2024-05-14,12,25,0,2024-05-14 12:25:00,10.10.0.80
27,002,2024-05-14,7,55,1,2024-05-14 07:55:00,10.10.0.81
29,002,2024-05-14,10,53,0,2024-05-14 10:53:00,10.10.0.80
36,002,2024-05-14,7,56,0,2024-05-14 07:56:00,10.10.0.80
47,002,2024-05-14,9,28,0,2024-05-14 09:28:00,10.10.0.80
50,002,2024-05-14,6,11,1,2024-05-14 06:11:00,10.10.0.81
50,002,2024-05-14,6,12,0,2024-05-14 06:12:00,10.10.0.80
51,002,2024-05-14,8,52,0,2024-05-14 08:52:00,10.10.0.80
52,002,2024-05-14,7,4,0,2024-05-14 07:04:00,10.10.0.80
55,002,2024-05-14,6,38,0,2024-05-14 06:38:00,10.10.0.80
58,002,2024-05-14,7,19,0,2024-05-14 07:19:00,10.10.0.80
63,002,2024-05-14,7,8,0,2024-05-14 07:08:00,10.10.0.80
65,002,2024-05-14,7,56,0,2024-05-14 07:56:00,10.10.0.80
66,002,2024-05-14,11,58,0,2024-05-14 11:58:00,10.10.0.80
68,002,2024-05-14,9,2,0,2024-05-14 09:02:00,10.10.0.80
92,002,2024-05-14,7,50,1,2024-05-14 07:50:00,10.10.0.81
95,002,2024-05-14,8,9,1,2024-05-14 08:09:00,10.10.0.81
113,002,2024-05-14,10,52,0,2024-05-14 10:52:00,10.10.0.80
117,002,2024-05-14,7,13,0,2024-05-14 07:13:00,10.10.0.80
118,002,2024-05-14,7,30,0,2024-05-14 07:30:00,10.10.0.80
129,002,2024-05-14,7,36,0,2024-05-14 07:36:00,10.10.0.80
504,002,2024-05-14,7,18,0,2024-05-14 07:18:00,10.10.0.80
509,002,2024-05-14,8,27,1,2024-05-14 08:27:00,10.10.0.81
511,002,2024-05-14,11,5,1,2024-05-14 11:05:00,10.10.0.81
542,002,2024-05-14,9,32,0,2024-05-14 09:32:00,10.10.0.80
544,002,2024-05-14,8,56,0,2024-05-14 08:56:00,10.10.0.80
549,002,2024-05-14,10,52,0,2024-05-14 10:52:00,10.10.0.80
559,002,2024-05-14,9,19,0,2024-05-14 09:19:00,10.10.0.80
