TOKEN,COMCODE,PDATE,HOURS,MINUTES,MODE,PDTIME,MCIP
6,002,2024-05-01,9,2,1,2024-05-01 09:01:59.999,CJOU214760220
6,002,2024-05-01,9,4,0,2024-05-01 09:03:59.999,CJOU214760232
8,002,2024-05-01,14,6,0,2024-05-01 14:05:59.999,CJOU214760232
8,002,2024-05-01,22,6,1,2024-05-01 22:06:00.000,CJOU214760220
10,002,2024-05-01,22,0,0,2024-05-01 21:59:59.999,CJOU214760232
18,002,2024-05-01,22,1,0,2024-05-01 22:00:59.999,CJOU214760232
19,002,2024-05-01,14,6,0,2024-05-01 14:05:59.999,CJOU214760232
22,002,2024-05-01,6,0,0,2024-05-01 06:00:00.000,CJOU214760232
22,002,2024-05-01,6,0,1,2024-05-01 06:00:00.000,CJOU214760220
22,002,2024-05-01,13,39,1,2024-05-01 13:39:00.000,CJOU214760220
24,002,2024-05-01,6,0,0,2024-05-01 06:00:00.000,CJOU214760232
24,002,2024-05-01,6,0,1,2024-05-01 06:00:00.000,CJOU214760220
24,002,2024-05-01,14,13,1,2024-05-01 14:13:00.000,CJOU214760220
25,002,2024-05-01,21,43,0,2024-05-01 21:43:00.000,CJOU214760232
30,002,2024-05-01,22,3,0,2024-05-01 22:03:00.000,CJOU214760232
31,002,2024-05-01,6,4,1,2024-05-01 06:03:59.999,CJOU214760220
31,002,2024-05-01,6,7,0,2024-05-01 06:07:00.000,CJOU214760232
31,002,2024-05-01,13,39,1,2024-05-01 13:39:00.000,CJOU214760220
34,002,2024-05-01,6,4,0,2024-05-01 06:03:59.999,CJOU214760232
34,002,2024-05-01,14,6,1,2024-05-01 14:05:59.999,CJOU214760220
35,002,2024-05-01,5,57,1,2024-05-01 05:57:00.000,CJOU214760220
35,002,2024-05-01,22,2,0,2024-05-01 22:02:00.000,CJOU214760232
36,002,2024-05-01,5,45,1,2024-05-01 05:45:00.000,CJOU214760220
36,002,2024-05-01,5,46,0,2024-05-01 05:46:00.000,CJOU214760232
36,002,2024-05-01,14,4,1,2024-05-01 14:03:59.999,CJOU214760220
37,002,2024-05-01,5,55,1,2024-05-01 05:55:00.000,CJOU214760220
39,002,2024-05-01,14,6,0,2024-05-01 14:05:59.999,CJOU214760232
39,002,2024-05-01,22,9,1,2024-05-01 22:08:59.999,CJOU214760220
47,XXX,2024-05-01,18,23,1,2024-05-01 18:22:59.999,CJOU214760220
1002,XXX,2024-05-01,21,52,0,2024-05-01 21:52:00.000,CJOU214760232
1003,XXX,2024-05-01,21,48,0,2024-05-01 21:47:59.999,CJOU214760232
1005,XXX,2024-05-01,21,39,0,2024-05-01 21:38:59.999,CJOU214760232
1006,XXX,2024-05-01,5,53,1,2024-05-01 05:52:59.999,CJOU214760220
1006,XXX,2024-05-01,5,54,0,2024-05-01 05:53:59.999,CJOU214760232
1006,XXX,2024-05-01,14,13,1,2024-05-01 14:13:00.000,CJOU214760220
1007,XXX,2024-05-01,14,6,0,2024-05-01 14:05:59.999,CJOU214760232
1009,XXX,2024-05-01,5,52,0,2024-05-01 05:51:59.999,CJOU214760232
1009,XXX,2024-05-01,5,52,1,2024-05-01 05:51:59.999,CJOU214760220
1009,XXX,2024-05-01,21,37,1,2024-05-01 21:36:59.999,CJOU214760220
1010,XXX,2024-05-01,13,57,0,2024-05-01 13:56:59.999,CJOU214760232
1011,XXX,2024-05-01,6,7,1,2024-05-01 06:07:00.000,CJOU214760220
1011,XXX,2024-05-01,13,54,0,2024-05-01 13:53:59.999,CJOU214760232
1011,XXX,2024-05-01,22,1,1,2024-05-01 22:00:59.999,CJOU214760220
1012,XXX,2024-05-01,14,12,0,2024-05-01 14:12:00.000,CJOU214760232
1012,XXX,2024-05-01,22,1,1,2024-05-01 22:00:59.999,CJOU214760220
1013,XXX,2024-05-01,14,6,0,2024-05-01 14:05:59.999,CJOU214760232
1014,XXX,2024-05-01,14,6,0,2024-05-01 14:05:59.999,CJOU214760232
1014,XXX,2024-05-01,22,9,1,2024-05-01 22:08:59.999,CJOU214760220
1015,XXX,2024-05-01,14,11,0,2024-05-01 14:11:00.000,CJOU214760232
1016,XXX,2024-05-01,6,5,0,2024-05-01 06:04:59.999,CJOU214760232
1016,XXX,2024-05-01,6,5,1,2024-05-01 06:04:59.999,CJOU214760220
1016,XXX,2024-05-01,14,13,1,2024-05-01 14:13:00.000,CJOU214760220
1025,XXX,2024-05-01,6,0,1,2024-05-01 06:00:00.000,CJOU214760220
1025,XXX,2024-05-01,6,1,0,2024-05-01 06:00:59.999,CJOU214760232
1025,XXX,2024-05-01,21,47,1,2024-05-01 21:46:59.999,CJOU214760220
1025,XXX,2024-05-01,22,4,0,2024-05-01 22:04:00.000,CJOU214760232
1027,XXX,2024-05-01,6,3,0,2024-05-01 06:02:59.999,CJOU214760232
1027,XXX,2024-05-01,14,4,1,2024-05-01 14:03:59.999,CJOU214760220
1033,XXX,2024-05-01,22,0,0,2024-05-01 21:59:59.999,CJOU214760232
1038,XXX,2024-05-01,6,10,0,2024-05-01 06:10:00.000,CJOU214760232
1038,XXX,2024-05-01,13,49,1,2024-05-01 13:49:00.000,CJOU214760220
1041,XXX,2024-05-01,5,42,0,2024-05-01 05:41:59.999,CJOU214760232
1041,XXX,2024-05-01,21,40,1,2024-05-01 21:40:00.000,CJOU214760220
1042,XXX,2024-05-01,8,56,0,2024-05-01 08:56:00.000,CJOU214760232
1042,XXX,2024-05-01,17,23,1,2024-05-01 17:23:00.000,CJOU214760220
1044,XXX,2024-05-01,6,4,0,2024-05-01 06:03:59.999,CJOU214760232
