TOKEN,COMCODE,PDATE,HOURS,MINUTES,MODE,PDTIME,MCIP,DEL
1,002,2024-04-06,21,46,0,2024-04-06 21:46:00,CJOU214760232,False
1,002,2024-04-22,9,56,0,2024-04-22 09:56:00,CJOU214760232,False
1,002,2024-04-22,9,56,1,2024-04-22 09:56:00,CJOU214760220,False
1,002,2024-04-27,18,54,0,2024-04-27 18:54:00,CJOU214760232,False
1,002,2024-04-27,18,54,1,2024-04-27 18:54:00,CJOU214760220,False
2,002,2024-04-02,10,3,0,2024-04-02 10:03:00,CJOU214760232,False
2,002,2024-04-02,17,58,1,2024-04-02 17:58:00,CJOU214760220,False
2,002,2024-04-03,10,0,0,2024-04-03 10:00:00,CJOU214760232,False
2,002,2024-04-03,17,58,1,2024-04-03 17:58:00,CJOU214760220,False
2,002,2024-04-04,9,55,0,2024-04-04 09:55:00,CJOU214760232,False
2,002,2024-04-04,18,5,1,2024-04-04 18:05:00,CJOU214760220,False
2,002,2024-04-05,9,58,0,2024-04-05 09:58:00,CJOU214760232,False
2,002,2024-04-05,18,6,1,2024-04-05 18:06:00,CJOU214760220,False
2,002,2024-04-06,9,51,0,2024-04-06 09:51:00,CJOU214760232,False
2,002,2024-04-06,17,50,1,2024-04-06 17:50:00,CJOU214760220,False
2,002,2024-04-08,9,56,0,2024-04-08 09:56:00,CJOU214760232,False
2,002,2024-04-08,17,51,1,2024-04-08 17:51:00,CJOU214760220,False
2,002,2024-04-10,9,51,0,2024-04-10 09:51:00,CJOU214760232,False
2,002,2024-04-10,17,51,1,2024-04-10 17:51:00,CJOU214760220,False
2,002,2024-04-11,9,58,0,2024-04-11 09:58:00,CJOU214760232,False
2,002,2024-04-11,17,51,1,2024-04-11 17:51:00,CJOU214760220,False
2,002,2024-04-12,9,56,0,2024-04-12 09:56:00,CJOU214760232,False
2,002,2024-04-12,16,53,1,2024-04-12 16:53:00,CJOU214760220,False
2,002,2024-04-13,9,51,0,2024-04-13 09:51:00,CJOU214760232,False
2,002,2024-04-13,17,55,1,2024-04-13 17:55:00,CJOU214760220,False
2,002,2024-04-15,9,53,0,2024-04-15 09:53:00,CJOU214760232,False
2,002,2024-04-15,17,55,1,2024-04-15 17:55:00,CJOU214760220,False
2,002,2024-04-16,9,54,0,2024-04-16 09:54:00,CJOU214760232,False
2,002,2024-04-16,17,47,1,2024-04-16 17:47:00,CJOU214760220,False
2,002,2024-04-17,11,52,0,2024-04-17 11:52:00,CJOU214760232,False
2,002,2024-04-17,17,56,1,2024-04-17 17:56:00,CJOU214760220,False
2,002,2024-04-18,9,59,0,2024-04-18 09:59:00,CJOU214760232,False
2,002,2024-04-18,17,57,1,2024-04-18 17:57:00,CJOU214760220,False
2,002,2024-04-19,10,3,0,2024-04-19 10:03:00,CJOU214760232,False
2,002,2024-04-19,17,41,1,2024-04-19 17:41:00,CJOU214760220,False
2,002,2024-04-20,10,8,0,2024-04-20 10:08:00,CJOU214760232,False
2,002,2024-04-20,17,46,1,2024-04-20 17:46:00,CJOU214760220,False
2,002,2024-04-22,9,53,0,2024-04-22 09:53:00,CJOU214760232,False
2,002,2024-04-22,17,51,1,2024-04-22 17:51:00,CJOU214760220,False
2,002,2024-04-23,9,57,0,2024-04-23 09:57:00,CJOU214760232,False
2,002,2024-04-23,17,50,1,2024-04-23 17:50:00,CJOU214760220,False
2,002,2024-04-24,9,51,0,2024-04-24 09:51:00,CJOU214760232,False
2,002,2024-04-24,17,50,1,2024-04-24 17:50:00,CJOU214760220,False
2,002,2024-04-25,10,1,0,2024-04-25 10:01:00,CJOU214760232,False
2,002,2024-04-25,17,50,1,2024-04-25 17:50:00,CJOU214760220,False
2,002,2024-04-26,10,19,0,2024-04-26 10:19:00,CJOU214760232,False
2,002,2024-04-26,15,19,1,2024-04-26 15:19:00,CJOU214760220,False
2,002,2024-04-27,9,57,0,2024-04-27 09:57:00,CJOU214760232,False
2,002,2024-04-27,17,55,1,2024-04-27 17:55:00,CJOU214760220,False
2,002,2024-04-29,9,56,0,2024-04-29 09:56:00,CJOU214760232,False
2,002,2024-04-29,17,46,1,2024-04-29 17:46:00,CJOU214760220,False
2,002,2024-04-30,9,56,0,2024-04-30 09:56:00,CJOU214760232,False
2,002,2024-04-30,17,58,1,2024-04-30 17:58:00,CJOU214760220,False
2,002,2024-05-02,9,58,0,2024-05-02 09:58:00,CJOU214760232,False
2,002,2024-05-02,17,54,1,2024-05-02 17:54:00,CJOU214760220,False
3,002,2024-04-01,9,50,0,2024-04-01 09:50:00,CJOU214760232,False
3,002,2024-04-01,17,57,1,2024-04-01 17:57:00,CJOU214760220,False
3,002,2024-04-02,10,3,0,2024-04-02 10:03:00,CJOU214760232,False
3,002,2024-04-02,17,58,1,2024-04-02 17:58:00,CJOU214760220,False
3,002,2024-04-03,9,59,0,2024-04-03 09:59:00,CJOU214760232,False
3,002,2024-04-03,17,53,1,2024-04-03 17:53:00,CJOU214760220,False
3,002,2024-04-04,9,55,0,2024-04-04 09:55:00,CJOU214760232,False
3,002,2024-04-04,17,52,1,2024-04-04 17:52:00,CJOU214760220,False
3,002,2024-04-05,10,11,0,2024-04-05 10:11:00,CJOU214760232,False
3,002,2024-04-05,18,13,1,2024-04-05 18:13:00,CJOU214760220,False
3,002,2024-04-06,9,6,0,2024-04-06 09:06:00,CJOU214760232,False
3,002,2024-04-06,17,2,1,2024-04-06 17:02:00,CJOU214760220,False
3,002,2024-04-08,10,19,0,2024-04-08 10:19:00,CJOU214760232,False
3,002,2024-04-08,18,20,1,2024-04-08 18:20:00,CJOU214760220,False
3,002,2024-04-11,9,57,0,2024-04-11 09:57:00,CJOU214760232,False
3,002,2024-04-11,17,51,1,2024-04-11 17:51:00,CJOU214760220,False
3,002,2024-04-12,9,56,0,2024-04-12 09:56:00,CJOU214760232,False
3,002,2024-04-12,17,54,1,2024-04-12 17:54:00,CJOU214760220,False
3,002,2024-04-13,9,51,0,2024-04-13 09:51:00,CJOU214760232,False
3,002,2024-04-13,17,30,1,2024-04-13 17:30:00,CJOU214760220,False
3,002,2024-04-15,9,54,0,2024-04-15 09:54:00,CJOU214760232,False
3,002,2024-04-15,17,54,1,2024-04-15 17:54:00,CJOU214760220,False
3,002,2024-04-16,9,54,0,2024-04-16 09:54:00,CJOU214760232,False
3,002,2024-04-16,17,54,1,2024-04-16 17:54:00,CJOU214760220,False
3,002,2024-04-17,9,54,0,2024-04-17 09:54:00,CJOU214760232,False
3,002,2024-04-17,17,56,1,2024-04-17 17:56:00,CJOU214760220,False
3,002,2024-04-18,9,59,0,2024-04-18 09:59:00,CJOU214760232,False
3,002,2024-04-18,17,57,1,2024-04-18 17:57:00,CJOU214760220,False
3,002,2024-04-19,10,3,0,2024-04-19 10:03:00,CJOU214760232,False
3,002,2024-04-19,17,41,1,2024-04-19 17:41:00,CJOU214760220,False
3,002,2024-04-20,10,8,0,2024-04-20 10:08:00,CJOU214760232,False
3,002,2024-04-20,17,25,1,2024-04-20 17:25:00,CJOU214760220,False
3,002,2024-04-22,9,53,0,2024-04-22 09:53:00,CJOU214760232,False
3,002,2024-04-22,17,52,1,2024-04-22 17:52:00,CJOU214760220,False
3,002,2024-04-23,10,10,0,2024-04-23 10:10:00,CJOU214760232,False
3,002,2024-04-23,17,50,1,2024-04-23 17:50:00,CJOU214760220,False
3,002,2024-04-24,9,51,0,2024-04-24 09:51:00,CJOU214760232,False
3,002,2024-04-24,17,50,1,2024-04-24 17:50:00,CJOU214760220,False
3,002,2024-04-25,10,1,0,2024-04-25 10:01:00,CJOU214760232,False
3,002,2024-04-25,17,50,1,2024-04-25 17:50:00,CJOU214760220,False
3,002,2024-04-27,10,22,0,2024-04-27 10:22:00,CJOU214760232,False
3,002,2024-04-27,17,54,1,2024-04-27 17:54:00,CJOU214760220,False
3,002,2024-04-29,9,51,0,2024-04-29 09:51:00,CJOU214760232,False
3,002,2024-04-29,17,46,1,2024-04-29 17:46:00,CJOU214760220,False
3,002,2024-04-30,9,56,0,2024-04-30 09:56:00,CJOU214760232,False
3,002,2024-04-30,17,56,1,2024-04-30 17:56:00,CJOU214760220,False
3,002,2024-05-02,10,12,0,2024-05-02 10:12:00,CJOU214760232,False
3,002,2024-05-02,17,54,1,2024-05-02 17:54:00,CJOU214760220,False
4,002,2024-04-01,9,54,0,2024-04-01 09:54:00,CJOU214760232,False
4,002,2024-04-01,17,57,1,2024-04-01 17:57:00,CJOU214760220,False
4,002,2024-04-02,10,3,0,2024-04-02 10:03:00,CJOU214760232,False
4,002,2024-04-02,17,58,1,2024-04-02 17:58:00,CJOU214760220,False
4,002,2024-04-03,9,59,0,2024-04-03 09:59:00,CJOU214760232,False
4,002,2024-04-03,17,59,1,2024-04-03 17:59:00,CJOU214760220,False
