TOKEN,COMCODE,PDATE,HOURS,MINUTES,MODE,PDTIME,MCIP
703,001,2024-07-01,9,39,0,2024-07-01 09:39:00,10.10.0.80
703,001,2024-07-01,18,7,1,2024-07-01 18:07:00,10.10.0.81
703,001,2024-07-02,7,37,0,2024-07-02 07:37:00,10.10.0.80
703,001,2024-07-02,16,26,1,2024-07-02 16:26:00,10.10.0.81
703,001,2024-07-03,9,0,0,2024-07-03 09:00:00,10.10.0.80
703,001,2024-07-03,18,13,1,2024-07-03 18:13:00,10.10.0.81
703,001,2024-07-04,9,6,0,2024-07-04 09:06:00,10.10.0.80
703,001,2024-07-04,18,5,1,2024-07-04 18:05:00,10.10.0.81
703,001,2024-07-05,9,5,0,2024-07-05 09:05:00,10.10.0.80
703,001,2024-07-05,18,5,1,2024-07-05 18:05:00,10.10.0.81
703,001,2024-07-07,7,39,0,2024-07-07 07:39:00,10.10.0.80
703,001,2024-07-07,17,15,1,2024-07-07 17:15:00,10.10.0.81
703,001,2024-07-08,9,4,0,2024-07-08 09:04:00,10.10.0.80
703,001,2024-07-08,18,10,1,2024-07-08 18:10:00,10.10.0.81
703,001,2024-07-09,9,6,0,2024-07-09 09:06:00,10.10.0.80
703,001,2024-07-09,18,6,1,2024-07-09 18:06:00,10.10.0.81
703,001,2024-07-10,8,56,0,2024-07-10 08:56:00,10.10.0.80
703,001,2024-07-10,18,7,1,2024-07-10 18:07:00,10.10.0.81
703,001,2024-07-11,8,58,0,2024-07-11 08:58:00,10.10.0.80
703,001,2024-07-11,18,33,1,2024-07-11 18:33:00,10.10.0.81
703,001,2024-07-12,8,24,0,2024-07-12 08:24:00,10.10.0.80
703,001,2024-07-12,17,59,1,2024-07-12 17:59:00,10.10.0.81
703,001,2024-07-13,9,0,0,2024-07-13 09:00:00,Manual Entery-1
703,001,2024-07-13,17,8,1,2024-07-13 17:08:00,10.10.0.81
703,001,2024-07-14,7,23,0,2024-07-14 07:23:00,10.10.0.80
703,001,2024-07-14,16,25,1,2024-07-14 16:25:00,10.10.0.81
703,001,2024-07-16,8,58,0,2024-07-16 08:58:00,10.10.0.80
703,001,2024-07-16,18,1,1,2024-07-16 18:01:00,10.10.0.81
703,001,2024-07-17,9,2,0,2024-07-17 09:02:00,10.10.0.80
703,001,2024-07-17,18,5,1,2024-07-17 18:05:00,10.10.0.81
703,001,2024-07-18,9,0,0,2024-07-18 09:00:00,Manual Entery-1
703,001,2024-07-18,9,2,0,2024-07-18 09:02:00,10.10.0.80
732,001,2024-07-01,12,0,0,2024-07-01 12:00:00,10.10.0.80
732,001,2024-07-01,21,43,1,2024-07-01 21:43:00,10.10.0.81
732,001,2024-07-02,11,54,0,2024-07-02 11:54:00,10.10.0.80
732,001,2024-07-02,23,0,1,2024-07-02 23:00:00,Manual Entery-1
732,001,2024-07-03,10,29,0,2024-07-03 10:29:00,10.10.0.80
732,001,2024-07-03,21,25,1,2024-07-03 21:25:00,10.10.0.81
732,001,2024-07-04,12,3,0,2024-07-04 12:03:00,10.10.0.80
732,001,2024-07-04,21,31,1,2024-07-04 21:31:00,10.10.0.81
732,001,2024-07-05,11,58,0,2024-07-05 11:58:00,10.10.0.80
732,001,2024-07-05,22,1,1,2024-07-05 22:01:00,10.10.0.81
732,001,2024-07-06,12,16,0,2024-07-06 12:16:00,10.10.0.80
732,001,2024-07-06,21,28,1,2024-07-06 21:28:00,10.10.0.81
732,001,2024-07-07,11,56,0,2024-07-07 11:56:00,10.10.0.80
732,001,2024-07-07,21,20,1,2024-07-07 21:20:00,10.10.0.81
732,001,2024-07-08,13,21,0,2024-07-08 13:21:00,10.10.0.80
732,001,2024-07-08,21,3,1,2024-07-08 21:03:00,10.10.0.81
732,001,2024-07-09,11,48,0,2024-07-09 11:48:00,10.10.0.80
732,001,2024-07-09,21,2,1,2024-07-09 21:02:00,10.10.0.81
732,001,2024-07-10,11,47,0,2024-07-10 11:47:00,10.10.0.80
732,001,2024-07-10,21,8,1,2024-07-10 21:08:00,10.10.0.81
732,001,2024-07-11,11,47,0,2024-07-11 11:47:00,10.10.0.80
732,001,2024-07-11,21,5,1,2024-07-11 21:05:00,10.10.0.81
732,001,2024-07-12,11,51,0,2024-07-12 11:51:00,10.10.0.80
732,001,2024-07-12,21,32,1,2024-07-12 21:32:00,10.10.0.81
732,001,2024-07-13,11,41,0,2024-07-13 11:41:00,10.10.0.80
732,001,2024-07-13,21,6,1,2024-07-13 21:06:00,10.10.0.81
732,001,2024-07-14,8,49,0,2024-07-14 08:49:00,10.10.0.80
732,001,2024-07-14,18,42,1,2024-07-14 18:42:00,10.10.0.81
732,001,2024-07-15,8,53,0,2024-07-15 08:53:00,10.10.0.80
732,001,2024-07-15,18,13,1,2024-07-15 18:13:00,10.10.0.81
732,001,2024-07-16,7,54,0,2024-07-16 07:54:00,10.10.0.80
732,001,2024-07-16,18,10,1,2024-07-16 18:10:00,10.10.0.81
732,001,2024-07-17,8,15,0,2024-07-17 08:15:00,10.10.0.80
732,001,2024-07-17,18,7,1,2024-07-17 18:07:00,10.10.0.81
732,001,2024-07-18,12,43,0,2024-07-18 12:43:00,10.10.0.80
