TOKEN,COMCODE,PDATE,HOURS,MINUTES,MODE,PDTIME,MCIP,Remarks
31,002,2024-08-01,14,1,0,2024-08-01 14:01:00,CJOU214760232,
31,002,2024-08-02,6,4,1,2024-08-02 06:04:00,CJOU214760220,
31,002,2024-08-02,6,5,0,2024-08-02 06:05:00,CJOU214760232,
31,002,2024-08-02,14,7,1,2024-08-02 14:07:00,CJOU214760220,
31,002,2024-08-03,14,3,0,2024-08-03 14:03:00,CJOU214760232,
31,002,2024-08-04,5,59,1,2024-08-04 05:59:00,CJOU214760220,
31,002,2024-08-04,6,2,0,2024-08-04 06:02:00,CJOU214760232,
31,002,2024-08-04,12,17,1,2024-08-04 12:17:00,CJOU214760220,
31,002,2024-08-05,14,4,0,2024-08-05 14:04:00,CJOU214760232,
31,002,2024-08-06,6,16,0,2024-08-06 06:16:00,CJOU214760232,2024-08-06 06:16:00
31,002,2024-08-06,14,12,1,2024-08-06 14:12:00,CJOU214760220,
31,002,2024-08-07,14,2,0,2024-08-07 14:02:00,CJOU214760232,
31,002,2024-08-08,6,3,1,2024-08-08 06:03:00,CJOU214760220,
31,002,2024-08-08,6,4,0,2024-08-08 06:04:00,CJOU214760232,
31,002,2024-08-08,13,6,1,2024-08-08 13:06:00,CJOU214760220,
31,002,2024-08-09,13,59,0,2024-08-09 13:59:00,CJOU214760232,
31,002,2024-08-10,6,0,1,2024-08-10 06:00:00,CJOU214760220,
31,002,2024-08-10,22,0,0,2024-08-10 22:00:00,CJOU214760232,
31,002,2024-08-11,5,58,1,2024-08-11 05:58:00,CJOU214760220,
31,002,2024-08-11,14,3,0,2024-08-11 14:03:00,CJOU214760232,
31,002,2024-08-12,6,2,1,2024-08-12 06:02:00,CJOU214760220,
31,002,2024-08-12,6,4,0,2024-08-12 06:04:00,CJOU214760232,
31,002,2024-08-12,14,10,1,2024-08-12 14:10:00,CJOU214760220,
31,002,2024-08-13,14,0,0,2024-08-13 14:00:00,CJOU214760232,
31,002,2024-08-14,6,9,0,2024-08-14 06:09:00,CJOU214760232,
31,002,2024-08-14,14,12,1,2024-08-14 14:12:00,CJOU214760220,
31,002,2024-08-15,14,19,0,2024-08-15 14:19:00,CJOU214760232,
31,002,2024-08-16,6,6,0,2024-08-16 06:06:00,CJOU214760232,
31,002,2024-08-16,13,48,1,2024-08-16 13:48:00,CJOU214760220,
31,002,2024-08-17,14,4,0,2024-08-17 14:04:00,CJOU214760232,
31,002,2024-08-18,6,3,1,2024-08-18 06:03:00,CJOU214760220,
31,002,2024-08-18,6,5,0,2024-08-18 06:05:00,CJOU214760232,
31,002,2024-08-18,14,9,1,2024-08-18 14:09:00,CJOU214760220,
31,002,2024-08-19,14,0,0,2024-08-19 14:00:00,CJOU214760232,
31,002,2024-08-20,6,3,1,2024-08-20 06:03:00,CJOU214760220,
31,002,2024-08-20,6,5,0,2024-08-20 06:05:00,CJOU214760232,
31,002,2024-08-20,17,42,1,2024-08-20 17:42:00,CJOU214760220,
