TOKEN,PDATE,MODE,PDTIME,MSTATUS
1,2024-02-20,0,2024-02-20 11:27:00,MM
5,2024-02-20,0,2024-02-20 08:27:00,MM
12,2024-02-20,0,2024-02-20 09:12:00,MM
23,2024-02-20,0,2024-02-20 08:52:00,MM
25,2024-02-20,0,2024-02-20 12:50:00,MM
26,2024-02-20,0,2024-02-20 08:52:00,MM
34,2024-02-20,0,2024-02-20 08:52:00,MM
34,2024-02-20,0,2024-02-20 08:54:00,MM
44,2024-02-20,0,2024-02-20 10:32:00,MM
53,2024-02-20,0,2024-02-20 09:28:00,MM
56,2024-02-20,0,2024-02-20 10:25:00,MM
63,2024-02-20,0,2024-02-20 12:07:00,MM
71,2024-02-20,0,2024-02-20 09:03:00,MM
83,2024-02-20,0,2024-02-20 09:17:00,MM
90,2024-02-20,0,2024-02-20 09:12:00,MM
121,2024-02-20,0,2024-02-20 09:03:00,MM
127,2024-02-20,0,2024-02-20 08:11:00,MM
129,2024-02-20,0,2024-02-20 08:11:00,MM
