TOKEN,COMCODE,PDATE,HOURS,MINUTES,MODE,PDTIME,MCIP,DEL
14,002,2025-01-01,2,28,1,2025-01-01 02:27:59.999,10.10.0.81,False
16,002,2025-01-01,1,30,1,2025-01-01 01:30:00.000,10.10.0.81,False
27,002,2025-01-01,7,2,1,2025-01-01 07:02:00.000,10.10.0.81,False
92,002,2025-01-01,7,6,1,2025-01-01 07:06:00.000,10.10.0.81,False
95,002,2025-01-01,1,27,1,2025-01-01 01:27:00.000,10.10.0.81,False
113,002,2025-01-01,0,21,1,2025-01-01 00:21:00.000,10.10.0.81,False
123,002,2025-01-01,0,18,1,2025-01-01 00:18:00.000,10.10.0.81,False
128,002,2025-01-01,0,36,1,2025-01-01 00:35:59.999,10.10.0.81,False
509,002,2025-01-01,8,5,1,2025-01-01 08:04:59.999,10.10.0.81,False
511,002,2025-01-01,11,6,1,2025-01-01 11:05:59.999,10.10.0.81,False
601,002,2025-01-01,2,6,1,2025-01-01 02:05:59.999,10.10.0.81,False
693,002,2025-01-01,0,26,1,2025-01-01 00:25:59.999,10.10.0.81,False
746,002,2025-01-01,0,32,1,2025-01-01 00:32:00.000,10.10.0.81,False
751,002,2025-01-01,0,26,1,2025-01-01 00:25:59.999,10.10.0.81,False
800,002,2025-01-01,8,15,1,2025-01-01 08:15:00.000,10.10.0.81,False
811,002,2025-01-01,1,20,1,2025-01-01 01:19:59.999,10.10.0.81,False
857,002,2025-01-01,7,38,1,2025-01-01 07:38:00.000,10.10.0.81,False
874,002,2025-01-01,0,16,1,2025-01-01 00:15:59.999,10.10.0.81,False
