TOKEN,COMCODE,PDATE,HOURS,MINUTES,MODE,PDTIME,MCIP
703,001,2024-07-01,9,39,0,2024-07-01 09:39:00,10.10.0.80
703,001,2024-07-01,18,7,1,2024-07-01 18:07:00,10.10.0.81
703,001,2024-07-02,7,37,0,2024-07-02 07:37:00,10.10.0.80
703,001,2024-07-02,16,26,1,2024-07-02 16:26:00,10.10.0.81
703,001,2024-07-03,9,0,0,2024-07-03 09:00:00,10.10.0.80
703,001,2024-07-03,18,13,1,2024-07-03 18:13:00,10.10.0.81
703,001,2024-07-04,9,6,0,2024-07-04 09:06:00,10.10.0.80
703,001,2024-07-04,18,5,1,2024-07-04 18:05:00,10.10.0.81
703,001,2024-07-05,9,5,0,2024-07-05 09:05:00,10.10.0.80
703,001,2024-07-05,18,5,1,2024-07-05 18:05:00,10.10.0.81
703,001,2024-07-07,7,39,0,2024-07-07 07:39:00,10.10.0.80
703,001,2024-07-07,17,15,1,2024-07-07 17:15:00,10.10.0.81
703,001,2024-07-08,9,4,0,2024-07-08 09:04:00,10.10.0.80
703,001,2024-07-08,18,10,1,2024-07-08 18:10:00,10.10.0.81
703,001,2024-07-09,9,6,0,2024-07-09 09:06:00,10.10.0.80
703,001,2024-07-09,18,6,1,2024-07-09 18:06:00,10.10.0.81
703,001,2024-07-10,8,56,0,2024-07-10 08:56:00,10.10.0.80
703,001,2024-07-10,18,7,1,2024-07-10 18:07:00,10.10.0.81
703,001,2024-07-11,8,58,0,2024-07-11 08:58:00,10.10.0.80
703,001,2024-07-11,18,33,1,2024-07-11 18:33:00,10.10.0.81
703,001,2024-07-12,8,24,0,2024-07-12 08:24:00,10.10.0.80
703,001,2024-07-12,17,59,1,2024-07-12 17:59:00,10.10.0.81
703,001,2024-07-13,9,0,0,2024-07-13 09:00:00,Manual Entery-1
703,001,2024-07-13,17,8,1,2024-07-13 17:08:00,10.10.0.81
703,001,2024-07-14,7,23,0,2024-07-14 07:23:00,10.10.0.80
703,001,2024-07-14,16,25,1,2024-07-14 16:25:00,10.10.0.81
703,001,2024-07-16,8,58,0,2024-07-16 08:58:00,10.10.0.80
703,001,2024-07-16,18,1,1,2024-07-16 18:01:00,10.10.0.81
703,001,2024-07-17,9,2,0,2024-07-17 09:02:00,10.10.0.80
703,001,2024-07-17,18,5,1,2024-07-17 18:05:00,10.10.0.81
703,001,2024-07-18,9,0,0,2024-07-18 09:00:00,Manual Entery-1
703,001,2024-07-18,9,2,0,2024-07-18 09:02:00,10.10.0.80
