TOKEN,COMCODE,PDATE,HOURS,MINUTES,MODE,PDTIME,MCIP
2,002,2024-09-02,9,54,0,2024-09-02 09:54:00,CJOU214760232
2,002,2024-09-02,17,55,1,2024-09-02 17:55:00,CJOU214760220
2,002,2024-09-03,9,55,0,2024-09-03 09:55:00,CJOU214760232
2,002,2024-09-03,17,53,1,2024-09-03 17:53:00,CJOU214760220
2,002,2024-09-04,9,55,0,2024-09-04 09:55:00,CJOU214760232
2,002,2024-09-04,17,52,1,2024-09-04 17:52:00,CJOU214760220
2,002,2024-09-05,9,56,0,2024-09-05 09:56:00,CJOU214760232
2,002,2024-09-05,17,53,1,2024-09-05 17:53:00,CJOU214760220
2,002,2024-09-06,9,58,0,2024-09-06 09:58:00,CJOU214760232
2,002,2024-09-06,15,55,1,2024-09-06 15:55:00,CJOU214760220
2,002,2024-09-09,9,55,0,2024-09-09 09:55:00,CJOU214760232
2,002,2024-09-09,17,56,1,2024-09-09 17:56:00,CJOU214760220
2,002,2024-09-10,9,54,0,2024-09-10 09:54:00,CJOU214760232
3,002,2024-09-02,10,37,0,2024-09-02 10:37:00,CJOU214760232
3,002,2024-09-02,17,54,1,2024-09-02 17:54:00,CJOU214760220
3,002,2024-09-03,9,55,0,2024-09-03 09:55:00,CJOU214760232
3,002,2024-09-03,17,54,1,2024-09-03 17:54:00,CJOU214760220
3,002,2024-09-04,9,55,0,2024-09-04 09:55:00,CJOU214760232
3,002,2024-09-04,17,52,1,2024-09-04 17:52:00,CJOU214760220
3,002,2024-09-05,9,0,0,2024-09-05 09:00:00,CJOU214760232
3,002,2024-09-05,17,53,1,2024-09-05 17:53:00,CJOU214760220
3,002,2024-09-06,9,2,0,2024-09-06 09:02:00,CJOU214760232
3,002,2024-09-06,17,8,1,2024-09-06 17:08:00,CJOU214760220
3,002,2024-09-09,10,54,0,2024-09-09 10:54:00,CJOU214760232
3,002,2024-09-09,17,56,1,2024-09-09 17:56:00,CJOU214760220
3,002,2024-09-10,9,54,0,2024-09-10 09:54:00,CJOU214760232
4,002,2024-09-02,9,54,0,2024-09-02 09:54:00,CJOU214760232
4,002,2024-09-02,17,54,1,2024-09-02 17:54:00,CJOU214760220
4,002,2024-09-03,9,55,0,2024-09-03 09:55:00,CJOU214760232
4,002,2024-09-03,17,54,1,2024-09-03 17:54:00,CJOU214760220
4,002,2024-09-04,9,55,0,2024-09-04 09:55:00,CJOU214760232
4,002,2024-09-04,17,52,1,2024-09-04 17:52:00,CJOU214760220
4,002,2024-09-05,9,56,0,2024-09-05 09:56:00,CJOU214760232
4,002,2024-09-05,17,53,1,2024-09-05 17:53:00,CJOU214760220
4,002,2024-09-06,9,58,0,2024-09-06 09:58:00,CJOU214760232
4,002,2024-09-06,17,46,1,2024-09-06 17:46:00,CJOU214760220
4,002,2024-09-09,9,55,0,2024-09-09 09:55:00,CJOU214760232
4,002,2024-09-09,17,56,1,2024-09-09 17:56:00,CJOU214760220
4,002,2024-09-10,9,54,0,2024-09-10 09:54:00,CJOU214760232
6,002,2024-09-01,9,14,0,2024-09-01 09:14:00,CJOU214760232
6,002,2024-09-02,6,0,1,2024-09-02 06:00:00,Manual Entery-1
6,002,2024-09-02,9,0,0,2024-09-02 09:00:00,CJOU214760232
6,002,2024-09-03,8,58,1,2024-09-03 08:58:00,CJOU214760220
6,002,2024-09-05,9,9,0,2024-09-05 09:09:00,CJOU214760232
6,002,2024-09-06,9,1,1,2024-09-06 09:01:00,CJOU214760220
6,002,2024-09-06,9,2,0,2024-09-06 09:02:00,CJOU214760232
6,002,2024-09-07,8,55,1,2024-09-07 08:55:00,CJOU214760220
6,002,2024-09-09,9,18,0,2024-09-09 09:18:00,CJOU214760232
6,002,2024-09-10,9,5,1,2024-09-10 09:05:00,CJOU214760220
7,002,2024-09-02,9,1,0,2024-09-02 09:01:00,CJOU214760232
7,002,2024-09-02,17,52,1,2024-09-02 17:52:00,CJOU214760220
7,002,2024-09-03,9,1,0,2024-09-03 09:01:00,CJOU214760232
7,002,2024-09-03,17,46,1,2024-09-03 17:46:00,CJOU214760220
7,002,2024-09-04,9,3,0,2024-09-04 09:03:00,CJOU214760232
7,002,2024-09-04,16,9,1,2024-09-04 16:09:00,CJOU214760220
7,002,2024-09-09,12,20,0,2024-09-09 12:20:00,CJOU214760232
7,002,2024-09-09,18,9,1,2024-09-09 18:09:00,CJOU214760220
7,002,2024-09-10,9,2,0,2024-09-10 09:02:00,CJOU214760232
8,002,2024-09-01,13,58,0,2024-09-01 13:58:00,CJOU214760232
8,002,2024-09-02,6,2,1,2024-09-02 06:02:00,CJOU214760220
8,002,2024-09-02,6,3,0,2024-09-02 06:03:00,CJOU214760232
8,002,2024-09-02,14,12,1,2024-09-02 14:12:00,CJOU214760220
8,002,2024-09-03,14,5,0,2024-09-03 14:05:00,CJOU214760232
8,002,2024-09-03,20,0,1,2024-09-03 20:00:00,Manual Entery-1
8,002,2024-09-04,6,3,0,2024-09-04 06:03:00,CJOU214760232
8,002,2024-09-04,14,8,1,2024-09-04 14:08:00,CJOU214760220
8,002,2024-09-05,14,1,0,2024-09-05 14:01:00,CJOU214760232
8,002,2024-09-05,23,0,1,2024-09-05 23:00:00,Manual Entery-1
8,002,2024-09-06,6,1,0,2024-09-06 06:01:00,CJOU214760232
8,002,2024-09-06,14,9,1,2024-09-06 14:09:00,CJOU214760220
8,002,2024-09-07,13,58,0,2024-09-07 13:58:00,CJOU214760232
8,002,2024-09-08,6,1,1,2024-09-08 06:01:00,CJOU214760220
8,002,2024-09-08,6,2,0,2024-09-08 06:02:00,CJOU214760232
8,002,2024-09-08,14,10,1,2024-09-08 14:10:00,CJOU214760220
8,002,2024-09-09,14,2,0,2024-09-09 14:02:00,CJOU214760232
8,002,2024-09-09,23,0,1,2024-09-09 23:00:00,Manual Entery-1
8,002,2024-09-10,6,6,0,2024-09-10 06:06:00,CJOU214760232
10,002,2024-09-04,22,0,0,2024-09-04 22:00:00,CJOU214760232
10,002,2024-09-05,6,3,1,2024-09-05 06:03:00,CJOU214760232
10,002,2024-09-05,14,7,0,2024-09-05 14:07:00,CJOU214760220
10,002,2024-09-06,6,6,1,2024-09-06 06:06:00,CJOU214760232
10,002,2024-09-06,14,10,0,2024-09-06 14:10:00,CJOU214760220
10,002,2024-09-07,21,59,1,2024-09-07 21:59:00,CJOU214760232
10,002,2024-09-08,6,45,0,2024-09-08 06:45:00,CJOU214760232
10,002,2024-09-09,6,5,1,2024-09-09 06:05:00,CJOU214760232
10,002,2024-09-09,14,25,0,2024-09-09 14:25:00,CJOU214760220
10,002,2024-09-09,23,0,1,2024-09-09 23:00:00,Manual Entery-1
11,002,2024-09-03,9,2,0,2024-09-03 09:02:00,CJOU214760232
11,002,2024-09-03,17,47,1,2024-09-03 17:47:00,CJOU214760220
11,002,2024-09-04,9,4,0,2024-09-04 09:04:00,CJOU214760232
11,002,2024-09-04,14,9,1,2024-09-04 14:09:00,CJOU214760220
11,002,2024-09-05,9,2,0,2024-09-05 09:02:00,CJOU214760232
11,002,2024-09-05,17,43,1,2024-09-05 17:43:00,CJOU214760220
11,002,2024-09-06,9,3,0,2024-09-06 09:03:00,CJOU214760232
11,002,2024-09-06,17,40,1,2024-09-06 17:40:00,CJOU214760220
