TOKEN,COMCODE,PDATE,HOURS,MINUTES,MODE,PDTIME,MCIP
2,002,2024-09-10,9,54,0,2024-09-10 09:54:00,CJOU214760232
3,002,2024-09-10,9,54,0,2024-09-10 09:54:00,CJOU214760232
4,002,2024-09-10,9,54,0,2024-09-10 09:54:00,CJOU214760232
6,002,2024-09-10,9,6,0,2024-09-10 09:06:00,CJOU214760232
7,002,2024-09-10,9,2,0,2024-09-10 09:02:00,CJOU214760232
8,002,2024-09-10,6,6,0,2024-09-10 06:06:00,CJOU214760232
11,002,2024-09-10,9,3,0,2024-09-10 09:03:00,CJOU214760232
12,002,2024-09-10,9,2,0,2024-09-10 09:02:00,CJOU214760232
15,002,2024-09-10,9,1,0,2024-09-10 09:01:00,CJOU214760232
16,002,2024-09-10,9,6,0,2024-09-10 09:06:00,CJOU214760232
18,002,2024-09-10,5,54,0,2024-09-10 05:54:00,CJOU214760232
19,002,2024-09-10,6,1,0,2024-09-10 06:01:00,CJOU214760232
20,002,2024-09-10,9,5,0,2024-09-10 09:05:00,CJOU214760232
21,002,2024-09-10,8,37,0,2024-09-10 08:37:00,CJOU214760232
22,002,2024-09-10,5,54,0,2024-09-10 05:54:00,CJOU214760232
23,002,2024-09-10,6,20,0,2024-09-10 06:20:00,CJOU214760232
25,002,2024-09-10,6,9,0,2024-09-10 06:09:00,CJOU214760232
26,002,2024-09-10,9,2,0,2024-09-10 09:02:00,CJOU214760232
28,002,2024-09-10,9,55,0,2024-09-10 09:55:00,CJOU214760232
30,002,2024-09-10,6,0,0,2024-09-10 06:00:00,CJOU214760232
34,002,2024-09-10,6,18,0,2024-09-10 06:18:00,CJOU214760232
35,002,2024-09-10,5,55,0,2024-09-10 05:55:00,CJOU214760232
38,002,2024-09-10,9,58,0,2024-09-10 09:58:00,CJOU214760232
40,002,2024-09-10,9,2,0,2024-09-10 09:02:00,CJOU214760232
