TOKEN,COMCODE,PDATE,HOURS,MINUTES,MODE,PDTIME,MCIP
6,002,2024-04-30,9,14,0,2024-04-30 09:14:00,CJOU214760232
6,002,2024-05-01,9,2,1,2024-05-01 09:01:59.999,CJOU214760220
24,002,2024-04-30,14,4,0,2024-04-30 14:04:00,CJOU214760232
31,002,2024-04-30,14,2,0,2024-04-30 14:02:00,CJOU214760232
31,002,2024-05-01,6,4,1,2024-05-01 06:03:59.999,CJOU214760220
35,002,2024-04-30,21,59,0,2024-04-30 21:59:00,CJOU214760232
35,002,2024-05-01,5,57,1,2024-05-01 05:57:00.000,CJOU214760220
36,002,2024-04-30,5,53,0,2024-04-30 05:53:00,CJOU214760232
36,002,2024-05-01,5,45,1,2024-05-01 05:45:00.000,CJOU214760220
37,002,2024-04-30,21,40,0,2024-04-30 21:40:00,CJOU214760232
37,002,2024-05-01,5,55,1,2024-05-01 05:55:00.000,CJOU214760220
