TOKEN,COMCODE,PDATE,HOURS,MINUTES,MODE,PDTIME,MCIP
2,002,2024-06-01,8,49,0,2024-06-01 08:49:00,10.10.0.80
2,002,2024-06-01,18,54,1,2024-06-01 18:54:00,10.10.0.81
2,002,2024-06-03,9,9,0,2024-06-03 09:09:00,10.10.0.80
2,002,2024-06-03,18,21,1,2024-06-03 18:21:00,10.10.0.81
2,002,2024-06-04,8,56,0,2024-06-04 08:56:00,10.10.0.80
2,002,2024-06-04,18,16,1,2024-06-04 18:16:00,10.10.0.81
2,002,2024-06-05,9,7,0,2024-06-05 09:07:00,10.10.0.80
2,002,2024-06-05,18,16,1,2024-06-05 18:16:00,10.10.0.81
2,002,2024-06-06,9,2,0,2024-06-06 09:02:00,10.10.0.80
2,002,2024-06-06,18,20,1,2024-06-06 18:20:00,10.10.0.81
2,002,2024-06-07,8,55,0,2024-06-07 08:55:00,10.10.0.80
2,002,2024-06-07,18,14,1,2024-06-07 18:14:00,10.10.0.81
2,002,2024-06-08,9,2,0,2024-06-08 09:02:00,10.10.0.80
2,002,2024-06-08,18,28,1,2024-06-08 18:28:00,10.10.0.81
2,002,2024-06-10,8,56,0,2024-06-10 08:56:00,10.10.0.80
2,002,2024-06-10,18,43,1,2024-06-10 18:43:00,10.10.0.81
2,002,2024-06-11,8,59,0,2024-06-11 08:59:00,10.10.0.80
2,002,2024-06-11,18,21,1,2024-06-11 18:21:00,10.10.0.81
2,002,2024-06-12,9,2,0,2024-06-12 09:02:00,10.10.0.80
2,002,2024-06-12,18,15,1,2024-06-12 18:15:00,10.10.0.81
2,002,2024-06-13,9,3,0,2024-06-13 09:03:00,10.10.0.80
3,002,2024-06-01,9,16,0,2024-06-01 09:16:00,10.10.0.80
3,002,2024-06-01,18,43,1,2024-06-01 18:43:00,10.10.0.81
3,002,2024-06-02,9,27,0,2024-06-02 09:27:00,10.10.0.80
3,002,2024-06-02,14,22,1,2024-06-02 14:22:00,10.10.0.81
3,002,2024-06-03,9,16,0,2024-06-03 09:16:00,10.10.0.80
3,002,2024-06-03,18,40,1,2024-06-03 18:40:00,10.10.0.81
3,002,2024-06-04,8,47,0,2024-06-04 08:47:00,10.10.0.80
3,002,2024-06-05,11,27,1,2024-06-05 11:27:00,10.10.0.81
3,002,2024-06-06,8,59,0,2024-06-06 08:59:00,10.10.0.80
3,002,2024-06-06,18,29,1,2024-06-06 18:29:00,10.10.0.81
3,002,2024-06-07,9,4,0,2024-06-07 09:04:00,10.10.0.80
3,002,2024-06-07,20,11,1,2024-06-07 20:11:00,10.10.0.81
3,002,2024-06-08,9,6,0,2024-06-08 09:06:00,10.10.0.80
3,002,2024-06-08,20,38,1,2024-06-08 20:38:00,10.10.0.81
3,002,2024-06-09,6,39,0,2024-06-09 06:39:00,10.10.0.80
3,002,2024-06-09,16,8,1,2024-06-09 16:08:00,10.10.0.81
3,002,2024-06-10,9,11,0,2024-06-10 09:11:00,10.10.0.80
3,002,2024-06-10,19,5,1,2024-06-10 19:05:00,10.10.0.81
3,002,2024-06-11,9,14,0,2024-06-11 09:14:00,10.10.0.80
3,002,2024-06-11,18,29,1,2024-06-11 18:29:00,10.10.0.81
3,002,2024-06-12,9,15,0,2024-06-12 09:15:00,10.10.0.80
3,002,2024-06-12,18,46,1,2024-06-12 18:46:00,10.10.0.81
3,002,2024-06-13,9,11,0,2024-06-13 09:11:00,10.10.0.80
7,002,2024-06-01,8,47,0,2024-06-01 08:47:00,10.10.0.80
7,002,2024-06-01,18,55,1,2024-06-01 18:55:00,10.10.0.81
7,002,2024-06-02,14,54,0,2024-06-02 14:54:00,10.10.0.80
7,002,2024-06-02,22,46,1,2024-06-02 22:46:00,10.10.0.81
7,002,2024-06-03,8,53,0,2024-06-03 08:53:00,10.10.0.80
7,002,2024-06-03,16,28,1,2024-06-03 16:28:00,10.10.0.81
7,002,2024-06-04,8,48,0,2024-06-04 08:48:00,10.10.0.80
7,002,2024-06-04,20,1,1,2024-06-04 20:01:00,10.10.0.81
7,002,2024-06-05,8,55,0,2024-06-05 08:55:00,10.10.0.80
7,002,2024-06-05,19,55,1,2024-06-05 19:55:00,10.10.0.81
7,002,2024-06-06,8,50,0,2024-06-06 08:50:00,10.10.0.80
7,002,2024-06-06,20,26,1,2024-06-06 20:26:00,10.10.0.81
7,002,2024-06-07,9,20,0,2024-06-07 09:20:00,10.10.0.80
7,002,2024-06-08,13,58,1,2024-06-08 13:58:00,10.10.0.81
7,002,2024-06-10,9,41,0,2024-06-10 09:41:00,10.10.0.80
7,002,2024-06-10,20,26,1,2024-06-10 20:26:00,10.10.0.81
7,002,2024-06-11,9,26,0,2024-06-11 09:26:00,10.10.0.80
