TOKEN,COMCODE,PDATE,HOURS,MINUTES,MODE,PDTIME,MCIP
6,002,2024-04-30,9,14,0,2024-04-30 09:13:59.999,CJOU214760232
14,002,2024-04-30,8,58,1,2024-04-30 08:58:00.000,CJOU214760220
24,002,2024-04-30,14,4,0,2024-04-30 14:03:59.999,CJOU214760232
25,002,2024-05-01,21,43,0,2024-05-01 21:43:00.000,CJOU214760232
31,002,2024-04-30,14,2,0,2024-04-30 14:02:00.000,CJOU214760232
35,002,2024-04-30,21,59,0,2024-04-30 21:58:59.999,CJOU214760232
37,002,2024-04-30,21,40,0,2024-04-30 21:40:00.000,CJOU214760232
37,002,2024-05-01,5,55,1,2024-05-01 05:55:00.000,CJOU214760220
47,XXX,2024-05-01,18,23,1,2024-05-01 18:22:59.999,CJOU214760220
1002,XXX,2024-05-01,21,52,0,2024-05-01 21:52:00.000,CJOU214760232
1003,XXX,2024-05-01,21,48,0,2024-05-01 21:47:59.999,CJOU214760232
1006,XXX,2024-04-30,21,59,0,2024-04-30 21:58:59.999,CJOU214760232
1009,XXX,2024-04-30,14,7,0,2024-04-30 14:06:59.999,CJOU214760232
1025,XXX,2024-04-30,22,7,0,2024-04-30 22:07:00.000,CJOU214760232
1045,XXX,2024-04-30,21,53,0,2024-04-30 21:53:00.000,CJOU214760232
1053,XXX,2024-04-30,5,44,1,2024-04-30 05:44:00.000,CJOU214760220
1075,XXX,2024-04-30,22,0,0,2024-04-30 21:59:59.999,CJOU214760232
1078,XXX,2024-04-30,21,59,0,2024-04-30 21:58:59.999,CJOU214760232
1080,XXX,2024-05-01,13,56,0,2024-05-01 13:55:59.999,CJOU214760232
1081,XXX,2024-04-30,14,11,0,2024-04-30 14:11:00.000,CJOU214760232
1082,XXX,2024-04-30,5,56,1,2024-04-30 05:56:00.000,CJOU214760220
1082,XXX,2024-05-01,21,18,0,2024-05-01 21:18:00.000,CJOU214760232
1085,XXX,2024-04-30,22,0,0,2024-04-30 21:59:59.999,CJOU214760232
1097,XXX,2024-05-01,22,1,0,2024-05-01 22:00:59.999,CJOU214760232
1102,XXX,2024-04-30,13,31,0,2024-04-30 13:30:59.999,CJOU214760232
1107,XXX,2024-04-30,21,59,0,2024-04-30 21:58:59.999,CJOU214760232
1108,XXX,2024-04-30,21,40,0,2024-04-30 21:40:00.000,CJOU214760232
