TOKEN,COMCODE,PDATE,HOURS,MINUTES,MODE,PDTIME,MCIP
10001,001,2025-08-10,13,51,0,2025-08-10 13:51:00,CGCA231160041
10001,001,2025-08-10,20,53,1,2025-08-10 20:53:00,WED3240401322
10001,001,2025-08-11,7,2,0,2025-08-11 07:02:00,CGCA231160041
10001,001,2025-08-11,18,26,1,2025-08-11 18:26:00,WED3240401322
10001,001,2025-08-12,6,52,0,2025-08-12 06:52:00,CGCA231160041
10001,001,2025-08-12,18,0,1,2025-08-12 18:00:00,WED3240401322
10001,001,2025-08-13,7,18,0,2025-08-13 07:18:00,CGCA231160041
10001,001,2025-08-13,18,21,1,2025-08-13 18:21:00,WED3240401322
10001,001,2025-08-14,7,14,0,2025-08-14 07:14:00,CGCA231160041
10002,001,2025-08-09,21,1,0,2025-08-09 21:01:00,CGCA231160041
10002,001,2025-08-10,7,0,1,2025-08-10 07:00:00,WED3240401322
10002,001,2025-08-10,7,5,0,2025-08-10 07:05:00,CGCA231160041
10002,001,2025-08-10,14,0,1,2025-08-10 14:00:00,WED3240401322
10002,001,2025-08-11,14,6,0,2025-08-11 14:06:00,CGCA231160041
10002,001,2025-08-11,21,5,1,2025-08-11 21:05:00,WED3240401322
10002,001,2025-08-12,13,50,0,2025-08-12 13:50:00,CGCA231160041
10002,001,2025-08-12,21,0,1,2025-08-12 21:00:00,WED3240401322
10002,001,2025-08-13,20,49,0,2025-08-13 20:49:00,CGCA231160041
10002,001,2025-08-14,7,22,0,2025-08-14 07:22:00,CGCA231160041
10002,001,2025-08-14,13,50,0,2025-08-14 13:50:00,CGCA231160041
10003,001,2025-08-09,6,46,0,2025-08-09 06:46:00,CGCA231160041
10003,001,2025-08-09,13,56,1,2025-08-09 13:56:00,WED3240401322
10003,001,2025-08-09,14,0,0,2025-08-09 14:00:00,CGCA231160041
10003,001,2025-08-09,21,0,1,2025-08-09 21:00:00,WED3240401322
10003,001,2025-08-10,20,53,0,2025-08-10 20:53:00,CGCA231160041
10003,001,2025-08-11,7,5,1,2025-08-11 07:05:00,WED3240401322
10003,001,2025-08-11,20,55,0,2025-08-11 20:55:00,CGCA231160041
10003,001,2025-08-12,7,0,1,2025-08-12 07:00:00,WED3240401322
10003,001,2025-08-12,20,55,0,2025-08-12 20:55:00,CGCA231160041
10003,001,2025-08-13,7,20,1,2025-08-13 07:20:00,WED3240401322
10003,001,2025-08-13,13,52,0,2025-08-13 13:52:00,CGCA231160041
10003,001,2025-08-13,21,0,1,2025-08-13 21:00:00,WED3240401322
10004,001,2025-08-09,9,18,0,2025-08-09 09:18:00,CGCA231160041
10004,001,2025-08-09,16,10,1,2025-08-09 16:10:00,WED3240401322
10004,001,2025-08-11,7,42,0,2025-08-11 07:42:00,CGCA231160041
10004,001,2025-08-11,16,16,1,2025-08-11 16:16:00,WED3240401322
10004,001,2025-08-12,7,54,0,2025-08-12 07:54:00,CGCA231160041
10004,001,2025-08-12,16,17,1,2025-08-12 16:17:00,WED3240401322
10004,001,2025-08-13,7,40,0,2025-08-13 07:40:00,CGCA231160041
10004,001,2025-08-13,16,18,1,2025-08-13 16:18:00,WED3240401322
10004,001,2025-08-14,7,52,0,2025-08-14 07:52:00,CGCA231160041
10006,001,2025-08-09,7,21,0,2025-08-09 07:21:00,CGCA231160041
10006,001,2025-08-09,15,32,1,2025-08-09 15:32:00,WED3240401322
10006,001,2025-08-11,7,27,0,2025-08-11 07:27:00,CGCA231160041
10006,001,2025-08-11,15,36,1,2025-08-11 15:36:00,WED3240401322
10006,001,2025-08-12,7,24,0,2025-08-12 07:24:00,CGCA231160041
10006,001,2025-08-12,15,31,1,2025-08-12 15:31:00,WED3240401322
10006,001,2025-08-13,7,19,0,2025-08-13 07:19:00,CGCA231160041
10006,001,2025-08-13,15,32,1,2025-08-13 15:32:00,WED3240401322
10006,001,2025-08-14,7,22,0,2025-08-14 07:22:00,CGCA231160041
10007,001,2025-08-09,7,21,0,2025-08-09 07:21:00,CGCA231160041
10007,001,2025-08-09,15,31,1,2025-08-09 15:31:00,WED3240401322
10007,001,2025-08-11,7,36,0,2025-08-11 07:36:00,CGCA231160041
10007,001,2025-08-11,15,36,1,2025-08-11 15:36:00,WED3240401322
10007,001,2025-08-12,7,33,0,2025-08-12 07:33:00,CGCA231160041
10007,001,2025-08-12,15,34,1,2025-08-12 15:34:00,WED3240401322
10007,001,2025-08-13,7,29,0,2025-08-13 07:29:00,CGCA231160041
10007,001,2025-08-13,15,33,1,2025-08-13 15:33:00,WED3240401322
10007,001,2025-08-14,7,26,0,2025-08-14 07:26:00,CGCA231160041
10009,001,2025-08-09,10,5,0,2025-08-09 10:05:00,CGCA231160041
10009,001,2025-08-09,12,4,1,2025-08-09 12:04:00,WED3240401322
10009,001,2025-08-10,10,34,0,2025-08-10 10:34:00,CGCA231160041
10009,001,2025-08-10,12,16,1,2025-08-10 12:16:00,WED3240401322
10009,001,2025-08-11,10,6,0,2025-08-11 10:06:00,CGCA231160041
10009,001,2025-08-11,11,58,1,2025-08-11 11:58:00,WED3240401322
10009,001,2025-08-13,9,56,0,2025-08-13 09:56:00,CGCA231160041
10009,001,2025-08-13,11,59,1,2025-08-13 11:59:00,WED3240401322
10009,001,2025-08-14,10,13,0,2025-08-14 10:13:00,CGCA231160041
10009,001,2025-08-14,12,4,1,2025-08-14 12:04:00,WED3240401322
10010,001,2025-08-09,7,36,0,2025-08-09 07:36:00,CGCA231160041
10010,001,2025-08-09,15,31,1,2025-08-09 15:31:00,WED3240401322
10010,001,2025-08-11,7,36,0,2025-08-11 07:36:00,CGCA231160041
10010,001,2025-08-11,15,36,1,2025-08-11 15:36:00,WED3240401322
10010,001,2025-08-12,7,42,0,2025-08-12 07:42:00,CGCA231160041
10010,001,2025-08-12,15,42,1,2025-08-12 15:42:00,WED3240401322
10010,001,2025-08-13,7,30,0,2025-08-13 07:30:00,CGCA231160041
10010,001,2025-08-13,15,33,1,2025-08-13 15:33:00,WED3240401322
10010,001,2025-08-14,7,30,0,2025-08-14 07:30:00,CGCA231160041
10011,001,2025-08-11,7,44,0,2025-08-11 07:44:00,CGCA231160041
10011,001,2025-08-11,15,36,1,2025-08-11 15:36:00,WED3240401322
10011,001,2025-08-12,7,32,0,2025-08-12 07:32:00,CGCA231160041
10011,001,2025-08-12,15,34,1,2025-08-12 15:34:00,WED3240401322
10011,001,2025-08-13,7,34,0,2025-08-13 07:34:00,CGCA231160041
10011,001,2025-08-13,15,35,1,2025-08-13 15:35:00,WED3240401322
10011,001,2025-08-14,7,19,0,2025-08-14 07:19:00,CGCA231160041
20001,002,2025-08-09,10,24,0,2025-08-09 10:24:00,CGCA231161346
20001,002,2025-08-09,16,54,1,2025-08-09 16:54:00,WED3240401373
20001,002,2025-08-11,9,28,0,2025-08-11 09:28:00,CGCA231161346
20001,002,2025-08-11,17,58,1,2025-08-11 17:58:00,WED3240401373
20001,002,2025-08-12,9,23,0,2025-08-12 09:23:00,CGCA231161346
20001,002,2025-08-12,18,5,1,2025-08-12 18:05:00,WED3240401373
20001,002,2025-08-13,9,38,0,2025-08-13 09:38:00,CGCA231161346
20001,002,2025-08-13,17,54,1,2025-08-13 17:54:00,WED3240401373
20001,002,2025-08-14,9,29,0,2025-08-14 09:29:00,CGCA231161346
20002,002,2025-08-09,14,36,0,2025-08-09 14:36:00,CGCA231161346
20002,002,2025-08-09,20,58,1,2025-08-09 20:58:00,WED3240401373
20002,002,2025-08-10,6,31,0,2025-08-10 06:31:00,CGCA231161346
20002,002,2025-08-10,20,19,1,2025-08-10 20:19:00,WED3240401373
20002,002,2025-08-11,6,53,0,2025-08-11 06:53:00,CGCA231161346
20002,002,2025-08-11,14,4,1,2025-08-11 14:04:00,WED3240401373
20002,002,2025-08-12,6,41,0,2025-08-12 06:41:00,CGCA231161346
20002,002,2025-08-12,14,19,1,2025-08-12 14:19:00,WED3240401373
20002,002,2025-08-13,13,46,0,2025-08-13 13:46:00,CGCA231161346
20002,002,2025-08-13,20,48,1,2025-08-13 20:48:00,WED3240401373
20002,002,2025-08-14,13,42,0,2025-08-14 13:42:00,CGCA231161346
20003,002,2025-08-09,7,1,0,2025-08-09 07:01:00,CGCA231161346
20003,002,2025-08-09,14,38,1,2025-08-09 14:38:00,WED3240401373
20003,002,2025-08-10,20,6,0,2025-08-10 20:06:00,CGCA231161346
20003,002,2025-08-11,7,2,1,2025-08-11 07:02:00,WED3240401373
20003,002,2025-08-11,20,57,0,2025-08-11 20:57:00,CGCA231161346
20003,002,2025-08-12,6,49,1,2025-08-12 06:49:00,WED3240401373
20003,002,2025-08-12,20,54,0,2025-08-12 20:54:00,CGCA231161346
20003,002,2025-08-13,7,2,1,2025-08-13 07:02:00,WED3240401373
20003,002,2025-08-13,20,7,0,2025-08-13 20:07:00,CGCA231161346
20003,002,2025-08-14,7,16,1,2025-08-14 07:16:00,WED3240401373
20004,002,2025-08-09,8,56,0,2025-08-09 08:56:00,CGCA231161346
20004,002,2025-08-09,17,32,1,2025-08-09 17:32:00,WED3240401373
20004,002,2025-08-11,9,2,0,2025-08-11 09:02:00,CGCA231161346
20004,002,2025-08-11,17,37,1,2025-08-11 17:37:00,WED3240401373
20004,002,2025-08-12,9,0,0,2025-08-12 09:00:00,CGCA231161346
20004,002,2025-08-12,17,42,1,2025-08-12 17:42:00,WED3240401373
20004,002,2025-08-13,8,57,0,2025-08-13 08:57:00,CGCA231161346
20004,002,2025-08-13,17,37,1,2025-08-13 17:37:00,WED3240401373
20004,002,2025-08-14,9,1,0,2025-08-14 09:01:00,CGCA231161346
20005,002,2025-08-09,21,2,0,2025-08-09 21:02:00,CGCA231161346
