TOKEN,PDATE,INTIME1,OUTTIME1,INTIME2,OUTTIME2,INTIME3,OUTTIME3,INTIME4,OUTTIME4,INTIME,OUTTIME,TOTALTIME,REMARKS,PUNCH_STATUS,OT
1,2024-02-01,2024-02-01 10:14,2024-02-01 15:28,2024-02-01 17:45,2024-02-01 22:56,,,,,2024-02-01 10:14,2024-02-01 22:56,10:25,*,PR,02:25
1,2024-02-02,2024-02-02 11:16,2024-02-02 15:25,2024-02-02 19:48,2024-02-02 22:20,,,,,2024-02-02 11:16,2024-02-02 22:20,06:41,*,HD,00:00
1,2024-02-03,2024-02-03 10:28,2024-02-03 21:47,,,,,,,2024-02-03 10:28,2024-02-03 21:47,11:19,,PR,03:19
1,2024-02-04,2024-02-04 10:53,2024-02-04 16:19,2024-02-04 19:36,2024-02-04 23:06,,,,,2024-02-04 10:53,2024-02-04 23:06,08:56,*,PR,00:56
1,2024-02-05,2024-02-05 10:56,2024-02-05 18:37,,,,,,,2024-02-05 10:56,2024-02-05 18:37,07:41,,HD,00:00
1,2024-02-06,2024-02-06 10:27,2024-02-06 20:03,,,,,,,2024-02-06 10:27,2024-02-06 20:03,09:36,,PR,01:36
1,2024-02-07,2024-02-07 10:57,2024-02-07 12:39,2024-02-07 14:32,2024-02-07 19:08,,,,,2024-02-07 10:57,2024-02-07 19:08,06:18,*,HD,00:00
1,2024-02-08,2024-02-08 11:06,2024-02-08 19:43,,,,,,,2024-02-08 11:06,2024-02-08 19:43,08:37,,PR,00:37
1,2024-02-09,2024-02-09 19:06,2024-02-09 22:55,,,,,,,2024-02-09 19:06,2024-02-09 22:55,03:49,,AB,00:00
1,2024-02-10,2024-02-10 09:44,2024-02-10 23:04,,,,,,,2024-02-10 09:44,2024-02-10 23:04,13:20,,PR,05:20
1,2024-02-11,2024-02-11 10:30,2024-02-11 23:05,,,,,,,2024-02-11 10:30,2024-02-11 23:05,12:35,,PR,04:35
1,2024-02-12,2024-02-12 19:49,2024-02-12 22:02,,,,,,,2024-02-12 19:49,2024-02-12 22:02,02:13,,AB,00:00
1,2024-02-13,2024-02-13 13:05,2024-02-13 20:12,2024-02-13 20:19,2024-02-13 21:45,,,,,2024-02-13 13:05,2024-02-13 21:45,08:33,*,PR,00:33
1,2024-02-14,2024-02-14 11:46,2024-02-14 14:44,2024-02-14 19:29,2024-02-14 23:32,,,,,2024-02-14 11:46,2024-02-14 23:32,07:01,*,HD,00:00
1.0,2024-02-15,,,,,,,,,,,,,AB,
1,2024-02-16,2024-02-16 10:43,2024-02-16 15:43,2024-02-16 10:43,2024-02-16 23:01,,,,,2024-02-16 10:43,2024-02-16 23:01,17:18,*,PR,09:18
1,2024-02-17,2024-02-17 09:48,2024-02-17 15:12,2024-02-17 18:05,2024-02-17 22:52,,,,,2024-02-17 09:48,2024-02-17 22:52,10:11,*,PR,02:11
