TOKEN,PDATE,INTIME1,OUTTIME1,INTIME2,OUTTIME2,INTIME3,OUTTIME3,INTIME4,OUTTIME4,INTIME,OUTTIME,TOTALTIME,REMARKS,MODE,PUNCH_STATUS,OT,SHIFT_STATUS,SHIFT_ST,SHIFT_ED,WORKHRS
10001,2025-10-01,,,,,,,,,,,,,,AB,,1S,2025-10-01 06:00:00,2025-10-01 14:30:00,8.3
10001,2025-10-01,,,,,,,,,,,,,,AB,,1S,2025-10-01 06:00:00,2025-10-01 14:30:00,8.3
10001,2025-10-02,2025-10-02 06:58,2025-10-02 14:00,,,,,,,2025-10-02 06:58,2025-10-02 14:00,07:02,,1.0,HD,00:00,1S,2025-10-02 06:00:00,2025-10-02 14:30:00,8.3
10001,2025-10-02,2025-10-02 06:58,2025-10-02 14:00,,,,,,,2025-10-02 06:58,2025-10-02 14:00,07:02,,1.0,HD,00:00,1S,2025-10-02 06:00:00,2025-10-02 14:30:00,8.3
10001,2025-10-03,2025-10-03 07:13,2025-10-03 18:24,,,,,,,2025-10-03 07:13,2025-10-03 18:24,11:11,,1.0,PR,03:11,1S,2025-10-03 06:00:00,2025-10-03 14:30:00,8.3
10001,2025-10-03,2025-10-03 07:13,2025-10-03 18:24,,,,,,,2025-10-03 07:13,2025-10-03 18:24,11:11,,1.0,PR,03:11,1S,2025-10-03 06:00:00,2025-10-03 14:30:00,8.3
10001,2025-10-04,,,,,,,,,,,,,,AB,,1S,2025-10-04 06:00:00,2025-10-04 14:30:00,8.3
10001,2025-10-04,,,,,,,,,,,,,,AB,,1S,2025-10-04 06:00:00,2025-10-04 14:30:00,8.3
10001,2025-10-05,2025-10-05 13:50,2025-10-05 20:51,,,,,,,2025-10-05 13:50,2025-10-05 20:51,07:01,,1.0,HD,00:00,1S,2025-10-05 06:00:00,2025-10-05 14:30:00,8.3
10001,2025-10-05,2025-10-05 13:50,2025-10-05 20:51,,,,,,,2025-10-05 13:50,2025-10-05 20:51,07:01,,1.0,HD,00:00,1S,2025-10-05 06:00:00,2025-10-05 14:30:00,8.3
10001,2025-10-06,2025-10-06 07:05,2025-10-06 18:06,,,,,,,2025-10-06 07:05,2025-10-06 18:06,11:01,,1.0,PR,03:01,1S,2025-10-06 06:00:00,2025-10-06 14:30:00,8.3
10001,2025-10-06,2025-10-06 07:05,2025-10-06 18:06,,,,,,,2025-10-06 07:05,2025-10-06 18:06,11:01,,1.0,PR,03:01,1S,2025-10-06 06:00:00,2025-10-06 14:30:00,8.3
10001,2025-10-07,2025-10-07 06:50,2025-10-07 18:02,,,,,,,2025-10-07 06:50,2025-10-07 18:02,11:12,,1.0,PR,03:12,1S,2025-10-07 06:00:00,2025-10-07 14:30:00,8.3
