TOKEN,COMCODE,PDATE,HOURS,MINUTES,MODE,PDTIME,MCIP,DEL
10001,001,2025-08-01,7,4,0,2025-08-01 07:04:00,CGCA231160041,False
10001,001,2025-08-01,18,6,1,2025-08-01 18:06:00,WED3240401322,False
10001,001,2025-08-02,6,59,0,2025-08-02 06:59:00,CGCA231160041,False
10001,001,2025-08-02,14,0,1,2025-08-02 14:00:00,WED3240401322,False
10001,001,2025-08-03,13,3,0,2025-08-03 13:03:00,CGCA231160041,False
10001,001,2025-08-03,20,4,1,2025-08-03 20:04:00,WED3240401322,False
10001,001,2025-08-04,7,8,0,2025-08-04 07:08:00,CGCA231160041,False
10001,001,2025-08-04,14,9,1,2025-08-04 14:09:00,WED3240401322,False
10001,001,2025-08-05,6,46,0,2025-08-05 06:46:00,CGCA231160041,False
10001,001,2025-08-05,17,50,1,2025-08-05 17:50:00,WED3240401322,False
10001,001,2025-08-06,7,5,0,2025-08-06 07:05:00,CGCA231160041,False
10001,001,2025-08-06,18,5,1,2025-08-06 18:05:00,WED3240401322,False
10001,001,2025-08-07,7,1,0,2025-08-07 07:01:00,CGCA231160041,False
10001,001,2025-08-07,18,4,1,2025-08-07 18:04:00,WED3240401322,False
10001,001,2025-08-08,6,54,0,2025-08-08 06:54:00,CGCA231160041,False
10001,001,2025-08-08,14,0,1,2025-08-08 14:00:00,WED3240401322,False
10001,001,2025-08-10,13,51,0,2025-08-10 13:51:00,CGCA231160041,False
10001,001,2025-08-10,20,53,1,2025-08-10 20:53:00,WED3240401322,False
10001,001,2025-08-11,7,2,0,2025-08-11 07:02:00,CGCA231160041,False
10001,001,2025-08-11,18,26,1,2025-08-11 18:26:00,WED3240401322,False
10001,001,2025-08-12,6,52,0,2025-08-12 06:52:00,CGCA231160041,False
10001,001,2025-08-12,18,0,1,2025-08-12 18:00:00,WED3240401322,False
10001,001,2025-08-13,7,18,0,2025-08-13 07:18:00,CGCA231160041,False
10001,001,2025-08-13,18,21,1,2025-08-13 18:21:00,WED3240401322,False
10001,001,2025-08-14,7,14,0,2025-08-14 07:14:00,CGCA231160041,False
10001,001,2025-08-14,18,15,1,2025-08-14 18:15:00,WED3240401322,False
10001,001,2025-08-15,6,54,0,2025-08-15 06:54:00,CGCA231160041,False
10001,001,2025-08-15,14,0,1,2025-08-15 14:00:00,WED3240401322,False
10001,001,2025-08-16,7,8,0,2025-08-16 07:08:00,CGCA231160041,False
10001,001,2025-08-16,14,9,1,2025-08-16 14:09:00,WED3240401322,False
10001,001,2025-08-17,13,58,0,2025-08-17 13:58:00,CGCA231160041,False
10001,001,2025-08-17,20,59,1,2025-08-17 20:59:00,WED3240401322,False
10001,001,2025-08-18,7,8,0,2025-08-18 07:08:00,CGCA231160041,False
10001,001,2025-08-18,18,9,1,2025-08-18 18:09:00,WED3240401322,False
10001,001,2025-08-19,7,11,0,2025-08-19 07:11:00,CGCA231160041,False
10001,001,2025-08-19,18,12,1,2025-08-19 18:12:00,WED3240401322,False
10001,001,2025-08-20,6,55,0,2025-08-20 06:55:00,CGCA231160041,False
10001,001,2025-08-20,18,44,1,2025-08-20 18:44:00,WED3240401322,False
10001,001,2025-08-21,6,57,0,2025-08-21 06:57:00,CGCA231160041,False
10001,001,2025-08-21,18,3,1,2025-08-21 18:03:00,WED3240401322,False
10001,001,2025-08-22,6,54,0,2025-08-22 06:54:00,CGCA231160041,False
10001,001,2025-08-22,18,1,1,2025-08-22 18:01:00,WED3240401322,False
10001,001,2025-08-23,6,57,0,2025-08-23 06:57:00,CGCA231160041,False
10001,001,2025-08-23,14,0,1,2025-08-23 14:00:00,WED3240401322,False
10001,001,2025-08-24,13,46,0,2025-08-24 13:46:00,CGCA231160041,False
10001,001,2025-08-24,20,51,1,2025-08-24 20:51:00,WED3240401322,False
10001,001,2025-08-25,7,0,0,2025-08-25 07:00:00,CGCA231160041,False
10001,001,2025-08-25,18,1,1,2025-08-25 18:01:00,WED3240401322,False
10001,001,2025-08-26,7,14,0,2025-08-26 07:14:00,CGCA231160041,False
10001,001,2025-08-26,18,15,1,2025-08-26 18:15:00,WED3240401322,False
10001,001,2025-08-27,6,57,0,2025-08-27 06:57:00,CGCA231160041,False
10001,001,2025-08-27,14,0,1,2025-08-27 14:00:00,WED3240401322,False
10001,001,2025-08-28,7,9,0,2025-08-28 07:09:00,CGCA231160041,False
10001,001,2025-08-28,18,10,1,2025-08-28 18:10:00,WED3240401322,False
10001,001,2025-08-29,6,54,0,2025-08-29 06:54:00,CGCA231160041,False
