TOKEN,COMCODE,PDATE,HOURS,MINUTES,MODE,PDTIME,MCIP,DEL
10001,001,2025-09-01,6,50,0,2025-09-01 06:50:00,CGCA231160041,False
10001,001,2025-09-01,18,0,1,2025-09-01 18:00:00,WED3240401322,False
10001,001,2025-09-02,6,55,0,2025-09-02 06:55:00,CGCA231160041,False
10001,001,2025-09-02,17,56,1,2025-09-02 17:56:00,WED3240401322,False
10001,001,2025-09-03,7,7,0,2025-09-03 07:07:00,CGCA231160041,False
10001,001,2025-09-03,18,7,1,2025-09-03 18:07:00,WED3240401322,False
10001,001,2025-09-04,6,50,0,2025-09-04 06:50:00,CGCA231160041,False
10001,001,2025-09-04,18,4,1,2025-09-04 18:04:00,WED3240401322,False
10001,001,2025-09-05,7,4,0,2025-09-05 07:04:00,CGCA231160041,False
10001,001,2025-09-05,18,6,1,2025-09-05 18:06:00,WED3240401322,False
10001,001,2025-09-06,7,7,0,2025-09-06 07:07:00,CGCA231160041,False
10001,001,2025-09-06,14,13,1,2025-09-06 14:13:00,WED3240401322,False
10001,001,2025-09-07,13,50,0,2025-09-07 13:50:00,CGCA231160041,False
10001,001,2025-09-07,20,50,1,2025-09-07 20:50:00,WED3240401322,False
10001,001,2025-09-08,7,2,0,2025-09-08 07:02:00,CGCA231160041,False
10001,001,2025-09-08,18,3,1,2025-09-08 18:03:00,WED3240401322,False
10001,001,2025-09-09,7,1,0,2025-09-09 07:01:00,CGCA231160041,False
10001,001,2025-09-09,18,2,1,2025-09-09 18:02:00,WED3240401322,False
10001,001,2025-09-10,7,6,0,2025-09-10 07:06:00,CGCA231160041,False
10001,001,2025-09-10,18,10,1,2025-09-10 18:10:00,WED3240401322,False
10001,001,2025-09-11,7,12,0,2025-09-11 07:12:00,CGCA231160041,False
10001,001,2025-09-11,18,13,1,2025-09-11 18:13:00,WED3240401322,False
10001,001,2025-09-12,7,10,0,2025-09-12 07:10:00,CGCA231160041,False
10001,001,2025-09-12,18,11,1,2025-09-12 18:11:00,WED3240401322,False
10001,001,2025-09-13,6,56,0,2025-09-13 06:56:00,CGCA231160041,False
10001,001,2025-09-13,16,1,1,2025-09-13 16:01:00,WED3240401322,False
10001,001,2025-09-14,14,8,0,2025-09-14 14:08:00,CGCA231160041,False
10001,001,2025-09-14,21,0,1,2025-09-14 21:00:00,WED3240401322,False
10001,001,2025-09-15,7,3,0,2025-09-15 07:03:00,CGCA231160041,False
10001,001,2025-09-15,18,4,1,2025-09-15 18:04:00,WED3240401322,False
10002,001,2025-09-01,20,50,0,2025-09-01 20:50:00,CGCA231160041,False
10002,001,2025-09-02,6,59,1,2025-09-02 06:59:00,WED3240401322,False
10002,001,2025-09-02,20,50,0,2025-09-02 20:50:00,CGCA231160041,False
10002,001,2025-09-03,7,10,1,2025-09-03 07:10:00,WED3240401322,False
10002,001,2025-09-03,20,59,0,2025-09-03 20:59:00,CGCA231160041,False
10002,001,2025-09-04,7,0,1,2025-09-04 07:00:00,WED3240401322,False
10002,001,2025-09-04,20,50,0,2025-09-04 20:50:00,CGCA231160041,False
10002,001,2025-09-05,7,10,1,2025-09-05 07:10:00,WED3240401322,False
10002,001,2025-09-05,20,50,0,2025-09-05 20:50:00,CGCA231160041,False
10002,001,2025-09-06,7,10,1,2025-09-06 07:10:00,WED3240401322,False
10002,001,2025-09-06,20,51,0,2025-09-06 20:51:00,CGCA231160041,False
10002,001,2025-09-07,6,55,1,2025-09-07 06:55:00,WED3240401322,False
10002,001,2025-09-07,7,0,0,2025-09-07 07:00:00,CGCA231160041,False
10002,001,2025-09-07,14,0,1,2025-09-07 14:00:00,WED3240401322,False
10002,001,2025-09-08,13,50,0,2025-09-08 13:50:00,CGCA231160041,False
10002,001,2025-09-08,21,0,1,2025-09-08 21:00:00,WED3240401322,False
10002,001,2025-09-09,13,50,0,2025-09-09 13:50:00,CGCA231160041,False
10002,001,2025-09-09,21,0,1,2025-09-09 21:00:00,WED3240401322,False
