TOKEN,COMCODE,PDATE,HOURS,MINUTES,MODE,PDTIME,MCIP,DEL
10001,001,2026-01-31,7,19,0,2026-01-31 07:19:00,CGCA231160041,False
10004,001,2026-01-31,8,29,0,2026-01-31 08:29:00,CGCA231160041,False
10006,001,2026-01-31,7,19,0,2026-01-31 07:19:00,CGCA231160041,False
10007,001,2026-01-31,7,27,0,2026-01-31 07:27:00,CGCA231160041,False
10010,001,2026-01-31,7,30,0,2026-01-31 07:30:00,CGCA231160041,False
20001,002,2026-01-31,9,40,0,2026-01-31 09:40:00,CGCA231161346,False
20002,002,2026-01-31,6,56,0,2026-01-31 06:56:00,CGCA231161346,False
20004,002,2026-01-31,9,3,0,2026-01-31 09:03:00,CGCA231161346,False
20007,002,2026-01-31,8,1,0,2026-01-31 08:01:00,CGCA231161346,False
20008,002,2026-01-31,8,14,0,2026-01-31 08:14:00,CGCA231161346,False
20009,002,2026-01-31,8,4,0,2026-01-31 08:04:00,CGCA231161346,False
20010,002,2026-01-31,8,13,0,2026-01-31 08:13:00,CGCA231161346,False
20014,002,2026-01-31,8,56,0,2026-01-31 08:56:00,CGCA231161346,False
20018,002,2026-01-31,7,18,0,2026-01-31 07:18:00,CGCA231161346,False
