TOKEN,PDATE,PDTIME,MCIP
11518,2024-04-01,2024-04-01 00:14:00,CGCA222560023
3,2024-04-01,2024-04-01 00:38:00,CGCA222560155
11529,2024-04-01,2024-04-01 00:43:00,CGCA222560175
11207,2024-04-01,2024-04-01 00:43:00,CGCA222560175
11290,2024-04-01,2024-04-01 00:47:00,CGCA222560175
11544,2024-04-01,2024-04-01 00:47:00,CGCA222560175
11474,2024-04-01,2024-04-01 00:53:00,CGCA201262943
11560,2024-04-01,2024-04-01 00:53:00,CGCA201262943
11476,2024-04-01,2024-04-01 00:53:00,CGCA201262943
11421,2024-04-01,2024-04-01 00:55:00,CGCA201262943
11121,2024-04-01,2024-04-01 00:55:00,CGCA222560175
11328,2024-04-01,2024-04-01 00:55:00,CGCA222560175
11168,2024-04-01,2024-04-01 00:57:00,CGCA222560175
11392,2024-04-01,2024-04-01 00:57:00,CGCA222560175
11457,2024-04-01,2024-04-01 00:57:00,CGCA222560175
11523,2024-04-01,2024-04-01 01:00:00,CGCA222560155
2,2024-04-01,2024-04-01 01:00:00,CGCA222560155
11150,2024-04-01,2024-04-01 01:00:00,CGCA222560155
11014,2024-04-01,2024-04-01 01:00:00,CGCA222560155
11478,2024-04-01,2024-04-01 01:00:00,CGCA222560155
11007,2024-04-01,2024-04-01 01:00:00,CGCA222560155
11330,2024-04-01,2024-04-01 01:00:00,CGCA222560155
11232,2024-04-01,2024-04-01 01:00:00,CGCA222560155
11362,2024-04-01,2024-04-01 01:00:00,CGCA222560175
11454,2024-04-01,2024-04-01 01:01:00,CGCA222560175
11038,2024-04-01,2024-04-01 01:01:00,CGCA222560155
11524,2024-04-01,2024-04-01 01:01:00,CGCA222560155
11541,2024-04-01,2024-04-01 01:01:00,CGCA222560155
11468,2024-04-01,2024-04-01 01:01:00,CGCA222560155
11336,2024-04-01,2024-04-01 01:02:00,CGCA222560155
11263,2024-04-01,2024-04-01 01:02:00,CGCA222560155
11072,2024-04-01,2024-04-01 01:03:00,CGCA222560155
11341,2024-04-01,2024-04-01 01:11:00,CGCA222560023
11512,2024-04-01,2024-04-01 01:11:00,CGCA222560023
11555,2024-04-01,2024-04-01 01:11:00,CGCA222560023
11519,2024-04-01,2024-04-01 01:12:00,CGCA222560023
11159,2024-04-01,2024-04-01 01:14:00,CGCA201262943
11368,2024-04-01,2024-04-01 01:14:00,CGCA222560023
11175,2024-04-01,2024-04-01 01:14:00,CGCA201262943
11493,2024-04-01,2024-04-01 01:14:00,CGCA222560023
11176,2024-04-01,2024-04-01 01:14:00,CGCA201262943
11486,2024-04-01,2024-04-01 01:15:00,CGCA201262943
11536,2024-04-01,2024-04-01 01:15:00,CGCA201262943
8041,2024-04-01,2024-04-01 01:15:00,CGCA201262943
11487,2024-04-01,2024-04-01 01:15:00,CGCA201262943
11258,2024-04-01,2024-04-01 01:16:00,CGCA222560023
11558,2024-04-01,2024-04-01 01:16:00,CGCA222560023
11322,2024-04-01,2024-04-01 01:16:00,CGCA222560023
11561,2024-04-01,2024-04-01 01:16:00,CGCA222560023
11334,2024-04-01,2024-04-01 01:16:00,CGCA222560023
11508,2024-04-01,2024-04-01 01:17:00,CGCA222560023
11153,2024-04-01,2024-04-01 01:21:00,CGCA201262943
11167,2024-04-01,2024-04-01 01:21:00,CGCA222560023
11538,2024-04-01,2024-04-01 01:21:00,CGCA201262943
11538,2024-04-01,2024-04-01 01:22:00,CGCA201262943
11303,2024-04-01,2024-04-01 01:24:00,CGCA222560175
11464,2024-04-01,2024-04-01 01:25:00,CGCA222560155
11440,2024-04-01,2024-04-01 01:41:00,CGCA201262943
11157,2024-04-01,2024-04-01 01:42:00,CGCA201262943
4074,2024-04-01,2024-04-01 05:39:00,CGCA222560183
19,2024-04-01,2024-04-01 05:47:00,CGCA222560183
8014,2024-04-01,2024-04-01 05:59:00,CGCA222560176
8006,2024-04-01,2024-04-01 05:59:00,CGCA222560176
207,2024-04-01,2024-04-01 05:59:00,CGCA222560183
8256,2024-04-01,2024-04-01 05:59:00,CGCA222560176
8257,2024-04-01,2024-04-01 06:00:00,CGCA222560176
8260,2024-04-01,2024-04-01 06:00:00,CGCA222560176
8009,2024-04-01,2024-04-01 06:00:00,CGCA222560176
8152,2024-04-01,2024-04-01 06:00:00,CGCA222560176
8234,2024-04-01,2024-04-01 06:00:00,CGCA222560176
8169,2024-04-01,2024-04-01 06:00:00,CGCA222560176
8238,2024-04-01,2024-04-01 06:00:00,CGCA222560176
8271,2024-04-01,2024-04-01 06:01:00,CGCA222560176
6059,2024-04-01,2024-04-01 06:02:00,CGCA222560176
8010,2024-04-01,2024-04-01 06:02:00,CGCA222560176
8274,2024-04-01,2024-04-01 06:02:00,CGCA222560176
4084,2024-04-01,2024-04-01 06:02:00,CGCA222560183
6058,2024-04-01,2024-04-01 06:03:00,CGCA222560176
6005,2024-04-01,2024-04-01 06:03:00,CGCA222560176
8265,2024-04-01,2024-04-01 06:05:00,CGCA222560176
8118,2024-04-01,2024-04-01 06:06:00,CGCA222560176
8194,2024-04-01,2024-04-01 06:06:00,CGCA222560176
8249,2024-04-01,2024-04-01 06:06:00,CGCA222560176
6003,2024-04-01,2024-04-01 06:07:00,CGCA222560176
4018,2024-04-01,2024-04-01 06:07:00,CGCA222560183
8034,2024-04-01,2024-04-01 06:07:00,CGCA222560176
8248,2024-04-01,2024-04-01 06:07:00,CGCA222560176
8005,2024-04-01,2024-04-01 06:08:00,CGCA222560176
8266,2024-04-01,2024-04-01 06:08:00,CGCA222560176
8058,2024-04-01,2024-04-01 06:08:00,CGCA222560176
8282,2024-04-01,2024-04-01 06:09:00,CGCA222560176
8204,2024-04-01,2024-04-01 06:10:00,CGCA222560176
6057,2024-04-01,2024-04-01 06:11:00,CGCA222560176
6039,2024-04-01,2024-04-01 06:11:00,CGCA222560176
8051,2024-04-01,2024-04-01 06:13:00,CGCA222560176
2001,2024-04-01,2024-04-01 06:15:00,CGCA222560183
8213,2024-04-01,2024-04-01 06:16:00,CGCA222560176
8215,2024-04-01,2024-04-01 06:18:00,CGCA222560176
4108,2024-04-01,2024-04-01 06:19:00,CGCA222560183
8068,2024-04-01,2024-04-01 06:23:00,CGCA222560176
4088,2024-04-01,2024-04-01 06:23:00,CGCA222560183
4029,2024-04-01,2024-04-01 06:23:00,CGCA222560183
8267,2024-04-01,2024-04-01 06:24:00,CGCA222560176
206,2024-04-01,2024-04-01 06:25:00,CGCA222560183
6004,2024-04-01,2024-04-01 06:25:00,CGCA222560176
8236,2024-04-01,2024-04-01 06:31:00,CGCA222560176
134,2024-04-01,2024-04-01 06:31:00,CGCA222560183
188,2024-04-01,2024-04-01 06:36:00,CGCA222560183
8170,2024-04-01,2024-04-01 06:37:00,CGCA222560176
31,2024-04-01,2024-04-01 06:38:00,CGCA222560183
136,2024-04-01,2024-04-01 06:40:00,CGCA222560183
7,2024-04-01,2024-04-01 06:40:00,CGCA222560183
11059,2024-04-01,2024-04-01 06:46:00,CGCA201262943
8269,2024-04-01,2024-04-01 06:47:00,CGCA222560176
11291,2024-04-01,2024-04-01 06:50:00,CGCA222560023
11556,2024-04-01,2024-04-01 06:53:00,CGCA222560023
11562,2024-04-01,2024-04-01 07:05:00,CGCA222560023
8090,2024-04-01,2024-04-01 07:06:00,CGCA222560183
4090,2024-04-01,2024-04-01 07:07:00,CGCA222560183
4090,2024-04-01,2024-04-01 07:11:00,CGCA222560183
11455,2024-04-01,2024-04-01 07:13:00,CGCA222560175
8188,2024-04-01,2024-04-01 07:14:00,CGCA222560176
8278,2024-04-01,2024-04-01 07:14:00,CGCA222560176
11021,2024-04-01,2024-04-01 07:21:00,CGCA222560175
8245,2024-04-01,2024-04-01 07:24:00,CGCA222560176
8191,2024-04-01,2024-04-01 07:32:00,CGCA222560176
4113,2024-04-01,2024-04-01 07:33:00,CGCA222560183
175,2024-04-01,2024-04-01 07:35:00,CGCA222560183
199,2024-04-01,2024-04-01 07:38:00,CGCA222560183
8255,2024-04-01,2024-04-01 07:38:00,CGCA222560176
11024,2024-04-01,2024-04-01 07:41:00,CGCA222560155
8090,2024-04-01,2024-04-01 07:42:00,CGCA222560183
11537,2024-04-01,2024-04-01 07:43:00,CGCA201262943
11462,2024-04-01,2024-04-01 07:43:00,CGCA222560155
11076,2024-04-01,2024-04-01 07:45:00,CGCA222560175
11013,2024-04-01,2024-04-01 07:45:00,CGCA222560175
11015,2024-04-01,2024-04-01 07:47:00,CGCA222560175
4109,2024-04-01,2024-04-01 07:48:00,CGCA222560183
11275,2024-04-01,2024-04-01 07:49:00,CGCA222560155
8166,2024-04-01,2024-04-01 07:53:00,CGCA222560176
11469,2024-04-01,2024-04-01 07:55:00,CGCA222560155
11143,2024-04-01,2024-04-01 07:55:00,CGCA222560155
11502,2024-04-01,2024-04-01 07:58:00,CGCA222560155
11085,2024-04-01,2024-04-01 08:00:00,CGCA222560175
11085,2024-04-01,2024-04-01 08:01:00,CGCA222560175
11241,2024-04-01,2024-04-01 08:01:00,CGCA222560175
11087,2024-04-01,2024-04-01 08:02:00,CGCA222560155
11008,2024-04-01,2024-04-01 08:03:00,CGCA201262943
11489,2024-04-01,2024-04-01 08:03:00,CGCA201262943
11479,2024-04-01,2024-04-01 08:04:00,CGCA201262943
11528,2024-04-01,2024-04-01 08:04:00,CGCA222560175
11516,2024-04-01,2024-04-01 08:04:00,CGCA222560175
11156,2024-04-01,2024-04-01 08:07:00,CGCA222560155
6001,2024-04-01,2024-04-01 08:08:00,CGCA222560155
11002,2024-04-01,2024-04-01 08:08:00,CGCA222560175
11375,2024-04-01,2024-04-01 08:11:00,CGCA222560155
11370,2024-04-01,2024-04-01 08:11:00,CGCA222560175
11155,2024-04-01,2024-04-01 08:12:00,CGCA222560155
11563,2024-04-01,2024-04-01 08:13:00,CGCA201262943
11030,2024-04-01,2024-04-01 08:14:00,CGCA222560155
11424,2024-04-01,2024-04-01 08:14:00,CGCA222560155
11201,2024-04-01,2024-04-01 08:16:00,CGCA201262943
11497,2024-04-01,2024-04-01 08:16:00,CGCA222560023
11344,2024-04-01,2024-04-01 08:17:00,CGCA222560023
11414,2024-04-01,2024-04-01 08:18:00,CGCA222560155
11535,2024-04-01,2024-04-01 08:18:00,CGCA222560023
11028,2024-04-01,2024-04-01 08:23:00,CGCA222560023
2022,2024-04-01,2024-04-01 08:24:00,CGCA222560176
11452,2024-04-01,2024-04-01 08:30:00,CGCA222560023
11534,2024-04-01,2024-04-01 08:31:00,CGCA222560023
2051,2024-04-01,2024-04-01 08:31:00,CGCA222560176
4073,2024-04-01,2024-04-01 08:32:00,CGCA222560183
6095,2024-04-01,2024-04-01 08:33:00,CGCA222560176
11025,2024-04-01,2024-04-01 08:34:00,CGCA222560023
2046,2024-04-01,2024-04-01 08:37:00,CGCA222560176
189,2024-04-01,2024-04-01 08:37:00,CGCA222560183
8218,2024-04-01,2024-04-01 08:38:00,CGCA222560176
11359,2024-04-01,2024-04-01 08:38:00,CGCA222560023
11507,2024-04-01,2024-04-01 08:38:00,CGCA222560023
193,2024-04-01,2024-04-01 08:39:00,CGCA222560183
2012,2024-04-01,2024-04-01 08:39:00,CGCA222560176
8268,2024-04-01,2024-04-01 08:39:00,CGCA222560176
183,2024-04-01,2024-04-01 08:41:00,CGCA222560183
2003,2024-04-01,2024-04-01 08:44:00,CGCA222560176
2045,2024-04-01,2024-04-01 08:48:00,CGCA222560183
2019,2024-04-01,2024-04-01 08:49:00,CGCA222560183
11554,2024-04-01,2024-04-01 08:49:00,CGCA201262943
11522,2024-04-01,2024-04-01 08:51:00,CGCA222560155
2005,2024-04-01,2024-04-01 08:51:00,CGCA222560183
214,2024-04-01,2024-04-01 08:52:00,CGCA222560183
21,2024-04-01,2024-04-01 08:52:00,CGCA222560183
11268,2024-04-01,2024-04-01 08:54:00,CGCA222560023
11177,2024-04-01,2024-04-01 08:54:00,CGCA222560023
11543,2024-04-01,2024-04-01 08:56:00,CGCA222560175
3015,2024-04-01,2024-04-01 09:02:00,CGCA222560183
49,2024-04-01,2024-04-01 09:05:00,CGCA222560183
4055,2024-04-01,2024-04-01 09:05:00,CGCA222560183
205,2024-04-01,2024-04-01 09:09:00,CGCA222560183
210,2024-04-01,2024-04-01 09:10:00,CGCA222560183
4046,2024-04-01,2024-04-01 09:10:00,CGCA222560183
8127,2024-04-01,2024-04-01 09:11:00,CGCA222560176
8232,2024-04-01,2024-04-01 09:11:00,CGCA222560176
8019,2024-04-01,2024-04-01 09:11:00,CGCA222560183
11549,2024-04-01,2024-04-01 09:13:00,CGCA201262943
8252,2024-04-01,2024-04-01 09:13:00,CGCA222560176
167,2024-04-01,2024-04-01 09:18:00,CGCA222560183
11031,2024-04-01,2024-04-01 09:20:00,CGCA222560155
8151,2024-04-01,2024-04-01 09:20:00,CGCA222560176
8270,2024-04-01,2024-04-01 09:23:00,CGCA222560176
11271,2024-04-01,2024-04-01 09:27:00,CGCA222560023
8193,2024-04-01,2024-04-01 09:27:00,CGCA222560176
11295,2024-04-01,2024-04-01 09:28:00,CGCA222560023
8258,2024-04-01,2024-04-01 09:28:00,CGCA222560176
8254,2024-04-01,2024-04-01 09:31:00,CGCA222560176
9001,2024-04-01,2024-04-01 09:32:00,CGCA222560183
2025,2024-04-01,2024-04-01 09:32:00,CGCA222560183
6009,2024-04-01,2024-04-01 09:33:00,CGCA222560176
215,2024-04-01,2024-04-01 09:33:00,CGCA222560183
11522,2024-04-01,2024-04-01 09:33:00,CGCA222560155
