TOKEN,COMCODE,PDATE,HOURS,MINUTES,MODE,PDTIME,MCIP
2,002,2023-09-06,9,17,0,2023-09-06 09:17:00.000,10.10.0.80
2,002,2023-09-06,21,30,1,2023-09-06 21:30:00.000,10.10.0.81
2,002,2023-09-07,8,44,0,2023-09-07 08:44:00.000,10.10.0.80
2,002,2023-09-07,20,13,1,2023-09-07 20:13:00.000,10.10.0.81
2,002,2023-09-08,9,8,0,2023-09-08 09:08:00.000,10.10.0.80
2,002,2023-09-08,20,5,1,2023-09-08 20:04:59.999,10.10.0.81
2,002,2023-09-09,9,5,0,2023-09-09 09:04:59.999,10.10.0.80
2,002,2023-09-09,20,10,1,2023-09-09 20:10:00.000,10.10.0.81
2,002,2023-09-10,8,36,0,2023-09-10 08:36:00.000,10.10.0.80
2,002,2023-09-10,14,26,1,2023-09-10 14:26:00.000,10.10.0.81
2,002,2023-09-11,9,11,0,2023-09-11 09:11:00.000,10.10.0.80
2,002,2023-09-11,18,10,1,2023-09-11 18:10:00.000,10.10.0.81
2,002,2023-09-12,8,45,0,2023-09-12 08:45:00.000,10.10.0.80
2,002,2023-09-12,18,8,1,2023-09-12 18:08:00.000,10.10.0.81
2,002,2023-09-13,8,51,0,2023-09-13 08:50:59.999,10.10.0.80
2,002,2023-09-13,18,10,1,2023-09-13 18:10:00.000,10.10.0.81
2,002,2023-09-14,9,12,0,2023-09-14 09:11:59.999,10.10.0.80
2,002,2023-09-14,18,5,1,2023-09-14 18:04:59.999,10.10.0.81
2,002,2023-09-15,9,7,0,2023-09-15 09:07:00.000,10.10.0.80
2,002,2023-09-15,18,7,1,2023-09-15 18:07:00.000,10.10.0.81
2,002,2023-09-16,9,9,0,2023-09-16 09:09:00.000,10.10.0.80
2,002,2023-09-16,18,45,1,2023-09-16 18:45:00.000,10.10.0.81
2,002,2023-09-18,8,51,0,2023-09-18 08:50:59.999,10.10.0.80
2,002,2023-09-18,13,47,1,2023-09-18 13:47:00.000,10.10.0.81
2,002,2023-09-19,8,38,0,2023-09-19 08:37:59.999,10.10.0.80
3,002,2023-09-01,8,52,0,2023-09-01 08:51:59.999,10.10.0.80
3,002,2023-09-01,18,26,1,2023-09-01 18:25:59.999,10.10.0.81
3,002,2023-09-02,8,38,0,2023-09-02 08:37:59.999,10.10.0.80
3,002,2023-09-02,18,22,1,2023-09-02 18:22:00.000,10.10.0.81
3,002,2023-09-03,10,38,0,2023-09-03 10:38:00.000,10.10.0.80
3,002,2023-09-03,17,42,1,2023-09-03 17:41:59.999,10.10.0.81
3,002,2023-09-04,9,13,0,2023-09-04 09:12:59.999,10.10.0.80
3,002,2023-09-04,18,46,1,2023-09-04 18:45:59.999,10.10.0.81
3,002,2023-09-05,9,27,0,2023-09-05 09:26:59.999,10.10.0.80
3,002,2023-09-05,18,9,1,2023-09-05 18:09:00.000,10.10.0.81
3,002,2023-09-06,8,48,0,2023-09-06 08:48:00.000,10.10.0.80
3,002,2023-09-06,18,14,1,2023-09-06 18:13:59.999,10.10.0.81
3,002,2023-09-07,9,22,0,2023-09-07 09:22:00.000,10.10.0.80
3,002,2023-09-07,18,52,1,2023-09-07 18:52:00.000,10.10.0.81
3,002,2023-09-08,9,23,0,2023-09-08 09:22:59.999,10.10.0.80
3,002,2023-09-08,18,4,1,2023-09-08 18:03:59.999,10.10.0.81
3,002,2023-09-09,9,26,0,2023-09-09 09:25:59.999,10.10.0.80
3,002,2023-09-09,18,5,1,2023-09-09 18:04:59.999,10.10.0.81
3,002,2023-09-10,10,15,0,2023-09-10 10:15:00.000,10.10.0.80
3,002,2023-09-10,18,11,1,2023-09-10 18:11:00.000,10.10.0.81
3,002,2023-09-11,9,34,0,2023-09-11 09:33:59.999,10.10.0.80
3,002,2023-09-11,18,33,1,2023-09-11 18:33:00.000,10.10.0.81
3,002,2023-09-12,9,40,0,2023-09-12 09:40:00.000,10.10.0.80
3,002,2023-09-12,18,56,1,2023-09-12 18:56:00.000,10.10.0.81
3,002,2023-09-13,9,31,0,2023-09-13 09:31:00.000,10.10.0.80
3,002,2023-09-13,19,50,1,2023-09-13 19:50:00.000,10.10.0.81
3,002,2023-09-14,8,42,0,2023-09-14 08:41:59.999,10.10.0.80
3,002,2023-09-14,19,4,1,2023-09-14 19:04:00.000,10.10.0.81
3,002,2023-09-15,8,58,0,2023-09-15 08:58:00.000,10.10.0.80
3,002,2023-09-15,18,8,1,2023-09-15 18:08:00.000,10.10.0.81
3,002,2023-09-16,9,27,0,2023-09-16 09:26:59.999,10.10.0.80
3,002,2023-09-16,22,19,1,2023-09-16 22:18:59.999,10.10.0.81
3,002,2023-09-17,0,6,0,2023-09-17 00:06:00.000,10.10.0.80
3,002,2023-09-17,15,52,1,2023-09-17 15:52:00.000,10.10.0.81
3,002,2023-09-18,5,35,0,2023-09-18 05:35:00.000,10.10.0.80
3,002,2023-09-18,18,48,1,2023-09-18 18:47:59.999,10.10.0.81
3,002,2023-09-19,9,9,0,2023-09-19 09:09:00.000,10.10.0.80
7,001,2023-09-03,8,30,0,2023-09-03 08:29:59.999,
7,001,2023-09-03,16,30,1,2023-09-03 16:30:00.000,
7,002,2023-09-04,11,21,0,2023-09-04 11:21:00.000,10.10.0.80
7,002,2023-09-04,14,48,1,2023-09-04 14:48:00.000,10.10.0.81
7,002,2023-09-05,8,50,0,2023-09-05 08:49:59.999,10.10.0.80
7,002,2023-09-05,20,18,1,2023-09-05 20:17:59.999,10.10.0.81
7,002,2023-09-06,8,55,0,2023-09-06 08:55:00.000,10.10.0.80
7,002,2023-09-06,18,54,1,2023-09-06 18:54:00.000,10.10.0.81
7,002,2023-09-07,9,5,0,2023-09-07 09:04:59.999,10.10.0.80
7,002,2023-09-07,21,15,1,2023-09-07 21:14:59.999,10.10.0.81
7,002,2023-09-08,8,50,0,2023-09-08 08:49:59.999,10.10.0.80
7,002,2023-09-09,1,51,0,2023-09-09 01:51:00.000,10.10.0.80
7,002,2023-09-09,1,51,1,2023-09-09 01:51:00.000,10.10.0.81
7,002,2023-09-09,13,45,1,2023-09-09 13:44:59.999,10.10.0.81
7,002,2023-09-10,17,58,0,2023-09-10 17:58:00.000,10.10.0.80
7,002,2023-09-11,12,17,1,2023-09-11 12:17:00.000,10.10.0.81
7,002,2023-09-13,8,57,0,2023-09-13 08:57:00.000,10.10.0.80
7,002,2023-09-13,19,35,1,2023-09-13 19:34:59.999,10.10.0.81
7,002,2023-09-14,8,58,0,2023-09-14 08:58:00.000,10.10.0.80
7,002,2023-09-14,19,43,1,2023-09-14 19:42:59.999,10.10.0.81
7,002,2023-09-15,9,0,0,2023-09-15 09:00:00.000,10.10.0.80
7,002,2023-09-15,23,52,1,2023-09-15 23:51:59.999,10.10.0.81
7,002,2023-09-16,0,1,0,2023-09-16 00:00:59.999,10.10.0.80
7,002,2023-09-16,12,17,1,2023-09-16 12:17:00.000,10.10.0.81
7,002,2023-09-17,13,13,0,2023-09-17 13:12:59.999,10.10.0.80
7,002,2023-09-17,19,36,1,2023-09-17 19:36:00.000,10.10.0.81
7,002,2023-09-19,9,5,0,2023-09-19 09:04:59.999,10.10.0.80
9,002,2023-09-01,20,57,0,2023-09-01 20:57:00.000,10.10.0.80
9,002,2023-09-01,8,23,1,2023-09-01 08:23:00.000,10.10.0.81
9,002,2023-09-02,7,58,1,2023-09-02 07:57:59.999,10.10.0.81
9,002,2023-09-04,13,2,0,2023-09-04 13:02:00.000,10.10.0.80
9,002,2023-09-04,21,6,1,2023-09-04 21:06:00.000,10.10.0.81
9,002,2023-09-05,7,48,0,2023-09-05 07:48:00.000,10.10.0.80
9,002,2023-09-05,20,23,1,2023-09-05 20:23:00.000,10.10.0.81
9,002,2023-09-06,7,52,0,2023-09-06 07:52:00.000,10.10.0.80
9,002,2023-09-06,16,48,1,2023-09-06 16:48:00.000,10.10.0.81
9,002,2023-09-08,7,50,0,2023-09-08 07:50:00.000,10.10.0.80
9,002,2023-09-08,16,55,1,2023-09-08 16:54:59.999,10.10.0.81
9,002,2023-09-09,7,42,0,2023-09-09 07:41:59.999,10.10.0.80
9,002,2023-09-09,16,48,1,2023-09-09 16:48:00.000,10.10.0.81
9,002,2023-09-10,7,58,0,2023-09-10 07:57:59.999,10.10.0.80
9,002,2023-09-10,16,53,1,2023-09-10 16:52:59.999,10.10.0.81
9,002,2023-09-11,7,17,0,2023-09-11 07:17:00.000,10.10.0.80
9,002,2023-09-11,16,46,1,2023-09-11 16:45:59.999,10.10.0.81
